,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 8.09649192 98.98423535 99.9119     99.9394     90.86868687 26.25424242
 56.6046404  70.70365354  1.        ]",[0.96285026 0.72839003 0.99869269 0.96835022],9.260956565656556,1.327571153640747
1,"[ 1.0245     98.98423535 99.9119     99.9394     90.86868687  8.07975152
 56.65228182 70.70365354  0.        ]",[0.88850494 0.79016738 0.73519987 0.75876936],2.188964646464683,1.4415223598480225
2,"[ 1.03349899 98.9942     94.86742525 99.9394     31.31313131 31.30271212
 77.78567778 82.82371414  0.        ]",[0.83487992 0.849254   0.98847187 0.62998272],7.232473737373766,0.28383660316467285
3,"[ 1.0245     98.98423535 99.9119     99.9394     90.86868687  8.07975152
 38.47124444 70.70365354  0.        ]",[0.87896366 0.81780605 0.66543537 0.75876936],2.188964646464683,1.356736421585083
4,"[ 1.03349899 98.98423535 99.9119     99.9394     90.86868687 16.15730303
 22.47124444 70.70365354  0.        ]",[0.87896366 0.87115931 0.55419987 0.75876936],2.1979636363636246,2.8184597492218018
5,"[ 1.0245     69.69526061 99.9119     99.9394     94.93939394  0.
 56.58558384 87.86373434  1.        ]",[0.95118638 0.39673429 0.99338233 0.97450631],31.477939393939437,1.0423948764801025
6,"[ 1.03349899 98.98423535 99.9119     99.9394     85.84848485 26.25424242
 22.36643333 76.74367374  0.        ]",[0.84680715 0.85653396 0.74680746 0.75876936],2.1979636363636246,8.775267601013184
7,"[ 1.0245     98.98423535 99.9119     99.9394     90.86868687  8.07975152
 56.65228182 70.70365354  0.        ]",[0.88850494 0.79016738 0.73519987 0.75876936],2.188964646464683,1.1319098472595215
8,"[ 1.0245     98.9942     94.86742525 99.9394     85.83838384  8.07975152
  0.         83.83371919  0.        ]",[0.44357049 0.86598266 0.93090504 0.78276255],7.223474747474711,4.784477710723877
9,"[ 8.09649192 98.98423535 99.9119     99.9394     90.90909091 16.15730303
 33.47124444 76.76368384  1.        ]",[0.96211724 0.69850765 0.99825364 0.96835022],9.260956565656556,1.1688194274902344
10,"[ 1.0245     98.98423535 99.9119     99.9394     90.90909091  8.07975152
 56.64275354 61.57358788  0.        ]",[0.89201054 0.78239663 0.68927705 0.75876936],2.188964646464683,0.7433671951293945
11,"[ 1.0245     91.91448283 99.9119     99.9394     85.83838384 31.30271212
 22.36643333 76.76368384  0.        ]",[0.70395619 0.85653396 0.77335852 0.75876936],9.258717171717194,1.7365849018096924
12,"[2.45000000e-02 9.19842354e+01 8.78674253e+01 9.99394000e+01
 2.42424242e+01 1.21185273e+01 7.78428475e+01 8.28237141e+01
 1.00000000e+00]",[0.95462828 0.38741107 0.99809986 0.9647657 ],20.23343939393942,10.582573652267456
13,"[2.45000000e-02 9.19244475e+01 9.99119000e+01 9.99394000e+01
 4.03232323e+01 2.62542424e+01 0.00000000e+00 5.95735879e+01
 0.00000000e+00]",[0.21911078 0.9084401  0.88623279 0.7833987 ],8.248752525252485,0.4941997528076172
14,"[ 1.03349899 98.98423535 94.86742525 99.9394     85.83838384 12.11852727
 22.27115051 82.82371414  0.        ]",[0.8650081  0.86152429 0.56660604 0.75876936],7.242438383838362,0.5316882133483887
15,"[40.3844596  44.44614444 99.9119     99.9394     95.95959596 26.25424242
 56.6046404  83.83371919  1.        ]",[0.9335718  0.63011462 0.99912065 0.94791999],96.08701515151517,0.5846738815307617
16,"[ 1.03349899 98.98423535 99.9119     99.9394     68.62626263 30.29301818
 22.47124444 76.75367879  0.        ]",[0.82865205 0.86484533 0.78920901 0.75876936],2.1979636363636246,2.5322604179382324
17,"[ 1.03349899 91.96430606 87.86742525 93.88267879 90.90909091 12.11852727
 82.84284747 82.82371414  1.        ]",[0.95118638 0.39207732 0.99827993 0.94866771],27.319088888888814,0.7854013442993164
18,"[ 1.0245     98.98423535 99.9119     99.9394     85.83838384 26.25424242
 33.36643333 70.70365354  1.        ]",[0.96211724 0.79395516 0.99900645 0.97450631],2.188964646464683,0.12560677528381348
19,"[2.45000000e-02 9.89842354e+01 9.48674253e+01 9.99394000e+01
 4.44242424e+01 8.07975152e+00 0.00000000e+00 5.95735879e+01
 0.00000000e+00]",[0.49019372 0.8976162  0.942155   0.7833987 ],6.23343939393942,0.5330162048339844
