cruise speed,illuminance,req_0
0.1582,87.6246,True
4.7495,82.5595,True
2.9768,65.8022,False
3.9582,72.4914,True
4.8514,38.0825,True
4.5644,97.7054,True
4.0814,54.7964,False
2.8397,50.6281,True
2.1124,1.3914,False
3.6743,68.4487,True
3.4314,53.4276,False
4.2727,44.6876,True
3.6688,81.8439,False
2.0848,27.0185,True
3.679,89.9358,True
2.3118,64.7558,True
2.2254,75.9748,True
1.3036,2.7397,True
2.079,50.6738,True
0.9969,2.3064,False
1.6212,89.1855,True
3.4349,36.4254,True
0.4591,15.8205,True
1.0115,10.2304,False
3.5972,35.4329,True
0.4462,99.0072,True
0.1679,84.0417,True
0.5586,29.5846,True
2.3817,63.1814,False
1.5795,66.3035,True
0.9742,38.0562,True
1.2498,86.4186,True
4.9521,72.4609,True
1.8229,58.6745,True
1.4448,68.8429,True
1.3043,73.8374,True
3.27,17.4614,False
2.5195,26.8683,True
3.8795,6.4681,False
3.8425,65.8742,True
0.263,88.3698,True
1.0556,12.247,True
3.2759,53.9161,True
4.8469,6.4175,False
4.6493,69.1704,True
0.0492,63.5978,True
1.0373,42.3122,True
4.5435,33.656,True
1.8268,72.2091,True
1.0954,93.9726,True
0.3217,44.7492,True
1.2909,0.4721,True
2.2477,26.7334,True
0.8653,76.2611,True
2.7389,51.8137,False
1.5109,95.837,True
1.3402,82.6722,True
0.4181,98.3951,True
4.2072,70.5199,True
3.7304,59.0,True
2.8905,0.8582,False
4.3017,28.8828,True
0.7927,97.9507,True
4.6098,43.2312,True
4.7724,75.9662,False
0.0812,22.0537,False
0.6467,88.7888,True
1.7057,49.617,True
4.7456,77.0036,False
2.0528,25.8536,True
3.3104,32.7236,True
3.3407,52.4775,False
2.0728,1.6259,True
2.885,81.7435,True
2.9621,18.2095,False
1.1465,49.036,True
2.7602,81.6983,False
4.3761,29.3539,False
2.1178,15.0076,True
0.3056,61.1716,True
2.4272,74.2474,False
3.6431,73.318,True
2.1758,7.7762,False
2.9142,47.9981,False
4.2361,1.9779,False
3.4942,72.9518,False
0.0665,53.2876,True
1.5738,81.6308,True
1.3986,85.6911,True
3.83,23.91,True
4.7882,43.5601,True
3.0791,26.0973,False
3.2265,70.837,False
3.6592,64.8626,True
0.4201,52.8218,True
3.3632,63.1039,True
0.0661,69.4636,True
0.6378,99.0713,True
3.2316,31.1169,True
1.4155,99.146,True
3.0128,51.179,False
4.4309,95.6626,True
2.4915,53.3587,True
3.7275,12.2114,False
0.9111,60.8928,True
0.1553,53.9622,True
1.8498,2.1058,False
3.4104,10.9208,True
3.7952,24.5427,True
4.6132,50.806,True
0.4839,43.6612,True
2.6412,60.6533,True
4.701,50.7511,True
2.954,93.8793,False
2.2615,76.5342,True
1.0544,57.5594,True
4.4685,92.1487,True
2.5377,76.2663,True
0.416,76.12,True
3.0913,1.2348,False
4.475,14.0745,True
1.0225,81.4939,True
1.1057,93.4428,True
1.3221,64.1883,True
0.5592,17.0752,True
0.2509,76.8198,True
4.4115,51.0535,True
1.8116,11.6173,True
0.8941,90.3029,True
3.052,14.8106,True
1.6911,18.3589,True
3.545,63.4266,True
4.7509,52.2714,True
0.6031,30.4192,True
1.3296,38.4725,True
3.3482,25.2692,False
3.4595,34.5247,True
0.2199,27.0387,True
1.8028,94.0761,True
2.7515,56.0366,True
0.3062,95.1512,True
4.0576,24.1073,False
0.3918,82.8475,True
4.3293,46.0498,False
2.141,18.5145,True
1.1021,81.4451,True
4.2719,94.1624,False
4.5175,68.7744,False
3.6938,48.9153,True
3.5105,90.4658,True
4.2102,82.305,False
4.5851,86.5643,False
2.3165,39.9576,True
2.2516,23.7921,True
3.5945,29.9516,True
2.8466,72.2634,True
2.41,81.7854,False
3.173,80.9344,True
0.5452,3.2344,False
2.9643,3.524,False
3.6029,68.3194,False
3.316,44.7767,False
1.5162,34.36,True
0.1934,24.3261,True
0.4588,64.0773,True
1.3427,26.4286,True
1.8597,47.909,True
1.8779,65.0537,True
3.1295,73.6073,True
4.9613,1.5436,False
2.4192,94.0079,True
3.2551,88.0613,True
4.5213,82.8638,True
0.3577,48.774,True
2.0493,22.4859,True
4.4711,4.7777,False
2.7021,83.5589,True
2.6099,61.0229,False
4.8793,28.0272,False
2.6672,81.0389,True
4.7392,6.1849,False
4.5659,53.7899,True
2.536,80.7767,True
0.9866,40.3531,True
0.2142,18.7193,True
2.6951,59.4804,False
4.4207,92.948,False
1.6817,1.6558,True
4.9539,25.8173,False
3.3189,37.8743,False
3.5523,98.6053,False
2.8289,36.9729,True
2.6885,23.9724,False
4.5498,37.0142,True
4.5757,41.0435,True
2.5421,88.7691,False
3.4753,9.2691,False
4.7574,8.5712,True
2.4066,99.4988,True
3.4197,94.2008,True
1.3562,84.2715,True
3.6837,64.674,True
0.3612,76.3582,True
4.1407,21.1286,False
0.2656,31.105,True
1.5626,89.0728,True
1.3779,11.6403,True
1.8221,99.1783,True
1.6781,14.8697,False
3.3441,66.6148,True
0.8789,11.6707,True
1.6256,30.9442,True
2.7408,76.6411,True
4.0792,40.0286,False
2.0402,21.839,True
2.835,10.8595,True
4.1092,55.7198,False
3.7576,0.5007,False
1.55,53.4924,True
2.212,17.1449,True
3.6505,10.0308,False
3.8811,47.9938,True
1.5577,66.7554,True
1.3725,22.9997,True
2.4859,7.7011,True
3.3205,93.0021,True
2.4533,95.4105,True
3.9247,2.6957,False
3.139,92.7188,False
2.3548,28.8332,True
3.2383,26.1081,False
3.1014,72.1923,True
2.656,93.6888,True
3.3589,98.5619,False
4.0767,8.5343,False
0.2388,73.3032,True
3.0085,59.956,False
1.2556,42.5792,True
2.6901,85.1139,True
4.4681,7.6087,False
2.6418,68.3733,True
0.4689,31.0367,True
2.8799,35.2598,True
2.6258,41.6491,True
3.92,37.5463,True
2.6554,50.7263,False
3.1714,97.0498,True
1.3469,27.773,True
4.4727,48.1053,True
1.5916,99.9757,True
2.3066,64.6567,True
1.0906,45.7008,True
3.7108,98.545,True
2.1098,82.2958,True
4.4227,10.8337,False
3.5818,70.5805,False
1.705,62.2903,True
2.3992,46.7734,False
1.7414,18.9866,True
4.0244,45.7715,True
0.864,90.8064,True
0.3767,58.9804,True
1.1962,99.277,True
4.7544,22.569,False
2.0717,61.6609,True
2.042,25.9348,True
0.3643,23.5698,True
2.9203,8.5608,False
1.6506,37.5362,True
3.7547,42.3315,False
4.7796,30.9456,True
4.4377,43.6811,True
4.992,93.7258,True
2.1213,93.8847,True
3.8178,72.4483,False
2.3143,87.6105,True
2.7416,74.6183,True
1.46,30.5026,True
0.0592,41.9221,True
3.4761,30.1093,True
1.8521,2.1402,True
1.509,94.442,True
2.0744,98.4325,True
4.512,52.4152,True
4.488,81.5942,False
0.0365,77.7241,True
2.0337,24.9903,True
3.0386,41.7458,True
4.2801,74.441,False
3.2042,77.5125,True
4.8746,12.7472,False
0.3523,93.5672,True
0.6437,19.4243,True
2.2621,14.2352,True
3.08,54.0633,False
1.6216,67.5592,True
3.4794,64.1183,True
0.0649,91.2344,True
1.0937,75.2316,True
4.8398,73.4393,False
3.4299,81.0919,True
4.6993,50.1654,True
3.5894,18.3852,False
2.1017,45.7353,True
4.4006,33.7776,True
0.324,50.1425,True
1.1006,26.3624,True
0.3603,39.2051,True
1.9553,4.895,False
1.3753,35.641,True
0.937,82.0062,True
2.4752,4.0223,False
0.8452,24.6482,True
2.2361,35.3021,True
4.2443,58.0759,True
4.9078,56.3133,True
1.3162,36.8256,True
4.9537,35.1353,False
4.0001,33.8086,True
1.3701,53.2701,True
0.6817,10.3297,False
0.7669,66.0258,True
3.3987,16.136,False
4.4947,40.1141,True
4.0316,17.5915,False
2.3483,12.3359,False
0.6579,57.4899,True
1.5304,24.5729,True
3.914,37.3185,True
1.8949,62.8576,True
0.8024,6.0427,True
3.8412,96.5699,True
1.1045,32.2841,True
3.2881,59.0131,True
1.1704,20.162,True
0.0014,7.8776,True
2.6405,64.668,True
3.5849,27.9138,False
2.0475,3.5446,True
3.742,46.0087,True
2.4041,37.3847,True
3.1247,25.049,False
1.8146,89.3816,True
3.5804,59.5588,True
1.6032,23.6313,True
4.6984,44.6637,False
1.5941,14.8978,True
3.5634,5.1626,False
4.5921,95.9041,True
0.6356,97.7783,True
4.6925,51.1136,False
0.4185,62.3396,True
3.5273,97.1602,True
4.6531,74.1443,False
0.8132,21.2978,True
2.9604,94.991,True
0.7518,8.0564,True
1.746,85.6352,True
2.276,53.3121,True
4.7473,26.8331,True
1.2153,39.9488,True
4.2102,46.4152,True
3.3338,50.7022,False
3.2954,24.2005,False
2.2074,14.9646,False
0.2599,46.8842,True
0.8377,76.676,True
3.3248,77.9248,True
2.7869,53.4184,True
0.4111,80.4824,True
1.9985,18.5137,True
0.136,23.4851,True
1.9406,43.6345,True
1.7871,49.6999,True
2.5057,70.0001,False
2.2405,26.3451,True
2.1257,74.8449,True
4.0586,92.8546,True
0.9261,80.2016,True
3.1144,20.0391,False
0.2923,11.006,False
4.3139,90.6467,True
2.7886,3.2022,False
1.9188,8.4761,True
4.78,90.5772,False
1.675,14.6657,True
2.2838,76.7459,True
4.7382,0.4513,False
1.0298,61.2843,True
4.415,70.5745,False
4.1971,76.8454,True
4.789,8.6564,False
1.2308,10.2103,True
2.1626,84.1012,True
2.8865,97.0629,False
0.8691,96.0085,True
4.6654,16.2402,False
4.3768,69.2307,True
0.0386,46.7869,True
0.1967,70.1253,True
2.6136,53.338,True
4.2398,7.1864,False
1.1033,76.4955,True
1.3614,39.4276,True
1.6672,60.801,True
0.91,6.5288,True
0.7763,95.5377,True
1.0469,52.4629,True
2.616,90.3679,True
2.5124,67.9668,False
0.9424,60.4971,True
0.0886,34.5645,True
4.4159,71.6832,True
1.339,50.8743,True
3.5411,57.9131,True
0.6001,70.1181,True
2.7916,47.5937,True
1.7734,39.0954,True
2.1945,28.8677,True
4.477,55.3017,False
1.1098,45.9798,True
3.9643,45.5302,False
0.3954,15.6116,True
1.8247,46.1249,True
4.7666,71.6485,False
1.3619,35.973,True
1.7401,90.5394,True
4.9595,11.1444,True
2.2825,51.3979,True
1.8468,42.1855,True
4.208,21.9076,True
1.4108,93.0943,True
3.216,13.5852,False
1.8463,33.3397,True
3.8285,73.4157,False
4.7885,68.8833,True
0.9365,77.5822,True
1.159,56.0657,True
4.8725,5.2327,False
3.5964,89.4763,False
1.8251,69.0727,True
1.6643,92.2159,True
0.8799,8.2792,True
4.2358,78.8973,True
0.2625,56.2499,True
0.8243,8.4383,False
2.4125,21.586,False
1.6334,21.4333,True
1.9318,6.0412,True
2.473,73.3962,False
3.285,23.8408,False
3.865,16.1306,False
1.3207,66.9231,True
4.4703,15.8131,False
2.1763,77.4026,True
1.0782,73.6333,True
3.3035,25.2311,False
2.6033,8.8718,False
0.5583,32.5697,True
2.9872,67.7967,True
2.9157,9.1245,False
0.5518,42.0709,True
0.5572,71.0289,True
4.0255,84.0218,True
1.2985,67.2668,True
0.5851,19.3174,False
3.0826,27.9346,True
4.0483,60.7988,False
1.1816,70.1916,True
0.8338,93.0622,True
3.6699,80.8598,False
1.4009,92.6102,True
3.6206,4.5039,False
1.1583,33.85,True
3.4184,1.6811,False
1.418,93.6795,True
0.4289,36.1266,True
3.8521,59.0269,False
2.2255,70.034,True
2.1481,88.5438,True
1.1783,16.8922,False
2.673,51.7374,True
1.7346,95.2083,True
0.4107,98.3121,True
1.8726,73.6056,True
0.0508,55.4253,True
2.8542,20.1432,False
2.773,24.918,False
3.1454,10.5606,False
2.0024,61.3983,True
0.6186,16.2655,True
1.2262,47.257,True
1.9638,84.585,True
2.4152,58.0214,False
1.4063,62.8454,True
0.0223,28.8407,True
1.5106,32.6677,True
4.8478,95.2413,True
2.1415,74.3769,True
4.5155,47.8093,True
2.8505,28.2906,True
3.3275,59.4951,False
2.3726,55.5371,True
4.0093,61.6239,False
1.4398,15.5136,True
1.283,85.845,True
2.365,96.9568,True
4.2021,19.6413,False
2.6935,57.1317,False
1.3475,73.4775,True
4.9172,63.6612,False
4.81,36.4738,False
2.5827,54.6042,True
2.2216,65.1526,True
0.6822,82.6064,True
3.8142,74.2785,True
2.564,83.5361,False
4.2964,11.2929,False
2.6528,71.1137,True
1.093,44.6394,True
0.0922,59.6658,True
1.6464,23.1464,True
0.3697,66.1532,True
4.5784,45.6942,False
2.93,98.9312,False
3.8433,96.0101,False
2.7483,28.0696,True
2.9149,81.9763,False
2.8603,32.4756,True
4.2916,84.1353,True
0.5329,40.1894,True
3.7284,98.4617,True
2.8399,36.6158,True
3.8966,84.8414,False
0.2203,79.4864,True
3.6858,83.0252,True
2.3691,34.1132,False
4.5485,85.2038,False
0.2919,41.5698,True
0.5372,69.3709,True
4.6919,14.1206,True
1.5042,52.7086,True
4.4265,22.7003,False
2.8188,20.2666,False
0.9662,18.932,True
1.3629,94.7644,True
4.2875,28.255,False
2.143,51.9121,True
0.8788,36.6508,True
2.9261,44.1893,True
0.2724,36.1421,True
3.033,10.3848,False
1.6297,97.883,True
4.9347,59.3479,True
2.3644,75.4467,True
0.0164,88.1766,True
2.8997,83.5713,False
3.6887,76.3568,True
3.8366,6.4589,False
4.5521,8.5339,False
0.6734,34.4446,True
4.0034,8.0515,False
2.2783,21.815,True
4.8892,4.8474,False
4.373,49.1031,False
0.5196,99.8697,True
0.8459,88.2976,True
1.0047,38.1142,True
0.6726,28.45,True
2.5505,91.4033,True
0.1472,48.2933,True
4.1607,63.455,True
4.4843,19.01,False
3.2578,68.4205,False
4.2135,60.0389,False
2.2606,39.882,True
3.7555,63.4475,False
0.8234,54.4328,True
1.9669,33.6788,True
1.3001,52.5951,True
4.6763,5.6371,False
2.5926,38.3369,False
4.7532,11.7635,False
4.3734,13.8471,True
1.5919,68.7669,True
3.8119,83.9465,True
4.7685,25.7734,True
2.7175,32.3737,False
0.6748,90.9951,True
3.9498,41.3321,True
0.2211,73.2559,True
1.5311,89.8575,True
0.9019,48.9415,True
3.3899,14.8099,False
4.9345,35.4603,True
3.5673,70.0897,False
1.3596,98.4547,True
3.6704,17.8192,False
3.3113,27.3861,False
2.0853,58.5178,True
0.0596,12.3786,True
3.7136,19.2367,False
4.0584,31.8751,True
4.4466,72.6498,True
3.3697,84.3037,True
3.4107,87.5775,False
0.0385,41.2201,True
0.4423,89.4431,True
1.4051,54.5181,True
1.2615,12.2254,False
1.2586,36.0298,True
4.5656,54.075,True
1.6004,6.4684,False
0.0598,3.1833,False
1.3627,89.4584,True
1.5897,1.3747,True
3.4813,6.068,False
4.0095,59.2754,True
4.1388,20.7737,False
0.7607,39.5261,True
4.2754,54.6905,True
3.2182,82.0093,True
2.9397,86.0322,True
0.1763,31.3362,True
4.4757,22.9437,False
4.8267,82.9479,True
4.6266,14.6682,False
3.0483,66.7007,False
4.7915,97.0829,True
4.3563,75.4572,True
3.0812,16.4995,False
2.9035,21.3482,True
