,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
185,"[5.00000030e-01 5.04364991e+00 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.65945349e+04 4.00000000e+00]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.65945349e+04 4.00000000e+00]","[0.80380948 0.90419831 1.         0.83148901 0.91277972 0.80522718
 0.81440851 0.86928295 0.84424082 0.87724091 0.97303355 0.84      ]","[0.84189001 0.90913402 1.         0.82900347 0.91679361 0.79821078
 0.80920967 0.87176276 0.8565071  0.87832528 0.97303355 0.88      ]",292.4563501179216,293.0,0.5436498820783982,0.0018589094812240957,28.831195831298828,0.10665535926818848,270.3211168114095
186,"[1.0000000e+00 5.0000000e+00 0.0000000e+00 2.0000000e+00 1.0000000e+01
 2.5870708e+03 2.9000000e+01]","[1.0000000e+00 5.0000000e+00 0.0000000e+00 2.0000000e+00 1.0000000e+01
 2.5870708e+03 2.9000000e+01]","[0.94966605 0.93348693 1.         0.91565515 0.95284805 0.95462775
 0.91115592 0.95226151 0.91855319 0.95571766 0.98724884 0.93      ]","[0.94966605 0.93348693 1.         0.91565515 0.95284805 0.95462775
 0.91115592 0.95226151 0.91855319 0.95571766 0.98724884 0.93      ]",294.0,294.0,0.0,0.0,7.77007269859314,0.21032094955444336,36.94388369324945
187,"[9.26772347e-01 5.17157703e+00 9.89651894e-01 3.00000000e+00
 2.20000000e+01 3.88150269e+04 7.50000000e+01]","[1.00000000e+00 5.00000000e+00 1.00000000e+00 3.00000000e+00
 2.20000000e+01 3.88150269e+04 7.50000000e+01]","[0.92184218 0.8775917  1.         0.766232   0.8569784  0.55964917
 0.72291335 0.76750967 0.81861753 0.84817946 0.94477457 0.78      ]","[0.92063362 0.8775917  1.         0.766232   0.8569784  0.55964917
 0.72291335 0.76642094 0.78200417 0.84723503 0.94477457 0.78      ]",291.76554342632204,292.0,0.23445657367796002,0.0008035786917284359,5.793151617050171,0.13649344444274902,42.44270954331479
188,"[7.50056787e-01 5.37875009e+00 4.20886125e-01 4.00000000e+00
 1.00000000e+01 3.16469718e+04 9.20000000e+01]","[1.00000000e+00 5.48142626e+00 0.00000000e+00 4.00000000e+00
 1.00000000e+01 3.16469718e+04 9.20000000e+01]","[0.95200533 0.73962012 1.         0.7837673  0.69995748 0.82983281
 0.8066468  0.83007859 0.85924138 0.84104298 0.97168905 0.94      ]","[0.95200533 0.73962012 1.         0.7837673  0.69995748 0.82983281
 0.8066468  0.83007859 0.85924138 0.84104298 0.97168905 0.94      ]",290.9504205697984,291.51857373737374,0.5681531675753604,0.001952749085093904,4.232321739196777,0.10778450965881348,39.26651197462402
189,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 1.10000000e+01 3.01620723e+04 7.00000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 1.10000000e+01 3.01620723e+04 7.00000000e+01]","[0.9547937  0.89761925 1.         0.8846032  0.91285106 0.9207423
 0.87918826 0.88271247 0.89210794 0.90562779 0.98750013 0.99      ]","[0.9547937  0.89761925 1.         0.8846032  0.91285106 0.9207423
 0.87918826 0.88271247 0.89210794 0.90562779 0.98750013 0.99      ]",292.0,292.0,0.0,0.0,6.538203239440918,0.12846064567565918,50.89654660423197
190,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 6.00000000e+00 2.73122862e+04 5.30000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 6.00000000e+00 2.73122862e+04 5.30000000e+01]","[0.96268715 0.89892667 1.         0.87998665 0.90916611 0.92553851
 0.86073376 0.92100895 0.89025178 0.92573674 0.99743795 0.97      ]","[0.96268715 0.89892667 1.         0.87998665 0.90916611 0.92553851
 0.86073376 0.92100895 0.89025178 0.92573674 0.99743795 0.97      ]",292.0,292.0,0.0,0.0,6.421291351318359,0.3148379325866699,20.395545411449678
191,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 3.33042038e+04 2.00000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 3.33042038e+04 2.00000000e+01]","[0.96658733 0.87818823 1.         0.83691253 0.88337615 0.89021226
 0.8359766  0.90202496 0.86793548 0.90746843 0.91841358 0.85      ]","[0.96658733 0.87818823 1.         0.83691253 0.88337615 0.89021226
 0.8359766  0.90202496 0.86793548 0.90746843 0.91841358 0.85      ]",295.0,295.0,0.0,0.0,8.280900239944458,0.1922595500946045,43.07146373675432
192,"[1.00000000e+00 5.00000000e+00 4.40997106e-17 1.00000000e+00
 1.30000000e+01 2.60705560e+03 6.20000000e+01]","[1.0000000e+00 5.0000000e+00 0.0000000e+00 1.0000000e+00 1.3000000e+01
 2.6070556e+03 6.2000000e+01]","[0.9567705  0.91589223 1.         0.91393529 0.94732904 0.95446441
 0.9100519  0.93411927 0.92219207 0.94929737 0.94807637 0.93      ]","[0.9567705  0.91589223 1.         0.91393529 0.94732904 0.95446441
 0.9100519  0.93411927 0.92219207 0.94929737 0.94807637 0.93      ]",295.0,295.0,0.0,0.0,7.15095591545105,0.4554867744445801,15.699590672354681
193,"[1.00000000e+00 5.36435008e+00 0.00000000e+00 3.00000000e+00
 1.30000000e+01 7.72353710e+03 8.30000000e+01]","[1.00000000e+00 5.48142626e+00 0.00000000e+00 3.00000000e+00
 1.30000000e+01 7.72353710e+03 8.30000000e+01]","[0.93615306 0.83030297 1.         0.82871543 0.83510383 0.90070362
 0.83423679 0.86788285 0.85079015 0.87888943 0.9050501  0.91      ]","[0.93615306 0.83030297 1.         0.82871543 0.83510383 0.90070362
 0.83423679 0.86788285 0.85079015 0.87888943 0.9050501  0.93      ]",292.63564991936937,292.51857373737374,-0.1170761819956283,-0.00040007491236247733,59.31744027137756,0.11726665496826172,505.83382196270423
194,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 3.00000000e+00
 1.40000000e+01 1.21946729e+04 1.70000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 3.00000000e+00
 1.40000000e+01 1.21946729e+04 1.70000000e+01]","[0.94838164 0.91481199 1.         0.90879692 0.91008844 0.91845264
 0.90516606 0.91861456 0.89593087 0.8896496  0.94009292 0.87      ]","[0.94838164 0.91481199 1.         0.90879692 0.91008844 0.91845264
 0.90516606 0.91861456 0.89593087 0.8896496  0.94009292 0.87      ]",293.0,293.0,0.0,0.0,7.6709513664245605,0.19730210304260254,38.879217444368585
195,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 1.50000000e+01 2.61985418e+04 6.00000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 1.50000000e+01 2.61985418e+04 6.00000000e+01]","[0.95065031 0.89284387 1.         0.86303658 0.90626096 0.92783194
 0.86864123 0.88461174 0.87692475 0.88657065 0.90029156 0.93      ]","[0.95065031 0.89284387 1.         0.86303658 0.90626096 0.92783194
 0.86864123 0.88461174 0.87692475 0.88657065 0.90029156 0.93      ]",295.0,295.0,0.0,0.0,6.071666955947876,0.139939546585083,43.38778496939257
196,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 1.80000000e+01 2.73755956e+04 1.50000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 1.80000000e+01 2.73755956e+04 1.50000000e+01]","[0.92975758 0.91830553 1.         0.88696488 0.9246152  0.91401221
 0.87547044 0.92078997 0.87413041 0.92084389 0.97961718 0.95      ]","[0.92975758 0.91830553 1.         0.88696488 0.9246152  0.91401221
 0.87547044 0.92078997 0.87413041 0.92084389 0.97961718 0.95      ]",292.0,292.0,0.0,0.0,6.152029037475586,0.2312469482421875,26.603719894424284
197,"[2.58580451e-01 5.42155345e+00 7.32724605e-02 1.00000000e+00
 6.00000000e+00 8.57028070e+03 8.50000000e+01]","[1.00000000e+00 5.48142626e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 8.57028070e+03 8.50000000e+01]","[0.92905445 0.86622442 1.         0.76284079 0.83673299 0.9193325
 0.7592164  0.88811034 0.81326593 0.88517687 0.92635608 0.98      ]","[0.94463996 0.85574417 1.         0.75139791 0.83066608 0.92021317
 0.749569   0.86957725 0.83564826 0.88517687 0.89346701 0.92      ]",293.7637545365544,294.51857373737374,0.7548192008193269,0.0025694769663130823,4.509931802749634,0.09671282768249512,46.632198756049036
198,"[1.00000000e+00 5.00000000e+00 5.43781292e-17 3.00000000e+00
 0.00000000e+00 1.45314462e+04 6.10000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 3.00000000e+00
 0.00000000e+00 1.45314462e+04 6.10000000e+01]","[0.95380036 0.92615156 1.         0.90131129 0.92560123 0.94430403
 0.89340139 0.91365984 0.91729971 0.92655435 0.98945528 0.92      ]","[0.95380036 0.92615156 1.         0.90131129 0.92560123 0.94430403
 0.89340139 0.91365984 0.91729971 0.92655435 0.98945528 0.92      ]",293.0,293.0,0.0,0.0,7.2015602588653564,0.23932123184204102,30.09160617900628
199,"[1.00000000e+00 5.00000000e+00 4.46902919e-17 3.00000000e+00
 1.80000000e+01 2.17437090e+03 4.60000000e+01]","[1.0000000e+00 5.0000000e+00 0.0000000e+00 3.0000000e+00 1.8000000e+01
 2.1743709e+03 4.6000000e+01]","[0.95590769 0.9432961  1.         0.95854157 0.95348121 0.94025014
 0.95562847 0.94056702 0.94007955 0.94444805 0.98582202 0.89      ]","[0.95590769 0.9432961  1.         0.95854157 0.95348121 0.94025014
 0.95562847 0.94056702 0.94007955 0.94444805 0.98582202 0.89      ]",293.0,293.0,0.0,0.0,6.936266899108887,0.35764145851135254,19.394471010101615
