Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[25.35842803 59.63275352 80.46905559 76.83148057 28.         94.0161
 80.7624     63.5628      1.        ]",[0.20465463 0.17231811 0.3040047  0.49577279],0.27106284587499996,95.59523835033008,,0.0020077228546142,16.426671416696355
1,"[26.96425544 49.92126125 93.83465729 56.41320722  6.         71.8208
 75.0593     60.5977      1.        ]",[0.76819828 0.13673953 0.25968018 0.60931384],0.31698782420000005,113.50185796504157,,0.0019352436065673,19.38290008623876
2,"[10.18824459 21.64468177 83.50438991 75.27838653 77.          7.5391
  1.6253     80.0753      0.        ]",[0.05370502 0.81384002 0.11505707 0.26724259],0.32440196595000004,104.3544500119977,,0.0010027885437011,33.9058487874465
3,"[54.54139848 71.27618222  7.98244041 39.49724712 69.         53.3293
 80.054      70.5053      0.        ]",[0.03837614 0.07206865 0.00530075 0.04839915],0.589463821825,208.3854125683744,,0.0019371509552001,35.339815384615385
4,"[48.52094069 43.06091503 23.33273247  6.86143906 99.          2.4322
 12.8356     94.2017      1.        ]",[0.55716666 0.02638394 0.00116866 0.13275713],0.688164635325,184.8852026116797,,0.0019474029541015,1287.749387855044
5,"[89.65000664  2.89490899 16.40044729 84.83411676 45.         98.6709
  3.9151     61.8843      1.        ]",[0.00163256 0.0012217  0.00093509 0.0031354 ],0.713801334,278.27767198361784,,0.0009934902191162,20.13150947924166
6,"[20.02243701 92.69155837 12.3207725  21.68712753 50.         73.3268
 98.4476     89.9971      1.        ]",[0.31211679 0.04576362 0.00179225 0.05647179],0.483307446525,151.7796563768848,,0.0020005702972412,21.721248957216066
7,"[55.14183101 48.85979595  0.99719427  9.19351475 60.          5.0044
 65.223      37.6768      0.        ]",[0.02900506 0.0051445  0.00846963 0.00947736],0.7402283151,277.78853310939013,,0.0019567012786865,46.76934324357256
8,"[ 39.27499195  34.32306744  39.37960563  40.30020281 100.
  92.6164      59.3104       6.7457       1.        ]",[0.17023924 0.08011498 0.0203005  0.1563967 ],0.563180290175,136.32889485430366,,0.0019431114196777,10.806503067484662
9,"[48.32653391 82.68469904  2.41443621 65.98194704 57.         36.8875
 58.619      10.06        1.        ]",[0.16471715 0.01235828 0.00404872 0.12606241],0.49311362905,179.9426586795518,,0.0019996166229248,34.23369500417313
10,"[78.73809361 56.78185335  6.66446843 33.25183562 32.         47.4298
 72.366      51.9463      1.        ]",[0.1444122  0.01095509 0.00646319 0.14718215],0.705099840525,262.7723493402251,,0.0019948482513427,101.10660929843432
11,"[91.54917509 81.81781684 27.90125372 55.25953421 65.         71.5749
 16.7207     90.6924      1.        ]",[0.10254882 0.01201215 0.00332059 0.10963432],0.5664264258,135.11557233556252,,0.0019526481628417,1667.854822954823
12,"[35.20524296 80.31428182 99.57746092 90.12562307 37.         79.1809
 53.0692     31.1356      0.        ]",[0.61353945 0.80050624 0.15409642 0.34438825],0.16296969287500007,-18.72077132800399,,0.0019483566284179,235.38815467449828
13,"[89.92792156 72.45757096 78.43684804 93.72937079 57.         91.1472
 30.0571     47.7731      1.        ]",[0.03174659 0.01631316 0.04067876 0.06681847],0.363260329425,131.00133884547984,,0.0019800662994384,12.626128838049368
14,"[49.820222    9.54170841  0.71601554 14.12624237 54.          8.7951
 97.14       64.1799      0.        ]",[0.00677226 0.00513383 0.0055882  0.00452001],0.8135906392,307.13346274585683,,0.0020005702972412,45.72244071028483
15,"[19.90716454  5.6996217  77.81074825 29.84822488 79.         86.3154
 36.3292     89.1413      1.        ]",[0.03382951 0.02407275 0.0271571  0.14263425],0.516371424275,117.68071011928674,,0.0019490718841552,24.11461773700306
16,"[75.80034754 26.0523709  30.23267728 42.68802767 63.         92.8676
 18.7256     55.7951      1.        ]",[0.08154201 0.06217938 0.10400318 0.27962796],0.6920681792250001,255.4561413822193,,0.0019409656524658,45.09286328460877
17,"[87.19500475 50.6175577  34.83740575 29.83104438 86.         81.9628
 80.0029     77.7698      0.        ]",[0.02756222 0.03321217 0.0005698  0.0465425 ],0.6797724922999999,180.9632787325483,,0.0019378662109375,27.869463582677167
18,"[37.40069612 42.83450517 89.37903902 29.41950409 68.         53.6763
 79.7056     39.447       1.        ]",[0.95294408 0.38882778 0.97661543 0.81424631],0.4394191196,157.46485490884297,,0.0019207000732421,48.69091360476664
19,"[27.36227768 58.86553052 62.13908656 80.37359277 48.          5.8405
 17.4103     42.6772      0.        ]",[0.71852088 0.7827546  0.06097657 0.4271013 ],0.31496016957500006,110.66334763224285,,0.0019409656524658,20.876305122220856
20,"[15.31793297 19.99171506 19.35905942 19.7997236  92.         48.5672
 34.9167     13.1011      1.        ]",[0.78336304 0.05022959 0.01102477 0.2591047 ],0.640418587225,148.79805306934702,,0.0019519329071044,2122.494198118969
21,"[69.59247404 49.47349801 31.39000129 80.06337967 34.         23.4219
 55.6327     75.5008      1.        ]",[0.89655014 0.11747418 0.96689689 0.7444984 ],0.521663987675,144.9152607261047,,0.0010046958923339,101.04247745609872
22,"[78.52784752 65.10743214 88.16693199 45.17293609 20.         30.5299
 88.347      72.1533      1.        ]",[0.88050728 0.14758045 0.88925856 0.76688849],0.4502013682499999,162.76063113969354,,0.0019488334655761,11.0391485196966
23,"[98.36292179 87.92790418 79.2920792  55.19970765 26.         25.0392
 87.8182     57.3263      0.        ]",[0.05869599 0.05977635 0.01135623 0.02210031],0.4398580769,158.64043783210357,,0.0009455680847167,71.8666162380232
24,"[85.63612192 15.24973183 39.66141989 53.43089559 97.         20.7041
 57.6769     92.789       0.        ]",[0.02311221 0.01861395 0.00047743 0.05618826],0.693235186525,251.8877382465427,,0.0019211769104003,19.49379498634897
25,"[22.30439375 91.98584134 10.18334911 50.49935236 16.         10.2433
 71.0307     90.0647      0.        ]",[0.04133379 0.3803926  0.00528707 0.06944854],0.42408962735,148.28168830754623,,0.0020039081573486,18.46281975014872
26,"[48.97983551 23.56699197 54.51291161 79.69355969 98.         35.0461
 95.9395     33.3524      1.        ]",[0.9390789  0.37267877 0.04558554 0.38688379],0.4780159305999999,151.66378335036336,,0.0009996891021728,29.00953970903888
27,"[35.25132985 16.8886092  89.95370006 23.29149786 91.         63.5706
 20.2699     37.0342      0.        ]",[0.27457899 0.13904589 0.01568446 0.09776661],0.512793806825,154.5027389033835,,0.0019505023956298,84.61227233834495
28,"[51.36173528 82.52785915 94.60937457 83.06895912 86.         39.0552
 87.3664     91.7777      0.        ]",[0.45164289 0.80572746 0.08919814 0.3527784 ],0.22788885609999998,70.81733234231137,,0.0019483566284179,18.48103279490945
29,"[42.6648556  82.63759911 18.9570816  18.83156641 38.         23.0321
 17.0318     57.9137      1.        ]",[0.90146023 0.04919006 0.45240611 0.55735616],0.5555965212,196.83227211218212,,0.0019478797912597,23.594736842105263
30,"[ 9.01843144 36.17187437 92.95211765 89.33999573 32.         65.934
 46.6649     66.7595      0.        ]",[0.53602103 0.8059005  0.00447125 0.33075073],0.2263861092249999,31.832168938877544,,0.0020010471343994,52.21756225425951
31,"[92.23739156 39.03129317 66.31788477 26.97875989 20.         72.492
 98.0729     81.4842      0.        ]",[1.07651791e-02 3.61847008e-02 3.61178463e-05 9.94806795e-03],0.649773634325,-40.18034626577651,,0.0019772052764892,11.636199204148078
32,"[ 2.40678373 86.61824087 80.24243273 44.7787701  85.         50.5482
 73.1106     66.2633      0.        ]",[0.82509303 0.83089223 0.11237507 0.39013868],0.22691835007500005,65.3866885218876,,0.0009999275207519,193.9940391034812
33,"[86.00337992 96.9391623  34.00184547  8.75596502 45.         22.5852
 86.9931      1.8369      0.        ]",[0.1438873  0.00104588 0.00022382 0.00704164],0.615766017825,228.9874505728449,,0.0020360946655273,11.296370023419204
