Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
21,"[0.00000000e+00 5.25460050e+00 0.00000000e+00 1.00000000e+00
 1.10117559e+01 2.27535302e+03 9.60000000e+01]","[0.75714776 0.53       0.99999579 0.99999285 0.98573509 0.5
 0.99999285 0.99999736 0.99999736 0.99999736 0.27512368 0.52705525]",151.7131144028242,,,942.6508388519288
22,"[0.00000000e+00 5.27280696e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+01 3.75710497e+03 7.30000000e+01]","[0.48803181 0.25       0.99996798 0.95890553 0.80813537 0.26
 0.95890553 0.94388991 0.94388991 0.94388991 0.16687322 0.42820432]",194.63225935109625,,,906.3079633712769
23,"[   0.            5.28820423    0.            2.60724333   18.4186693
 2039.16265312   60.        ]","[0.13649693 0.53       0.99996188 0.93738239 0.80586461 0.42
 0.93738239 0.91252186 0.91252186 0.91252186 0.07605652 0.27978818]",236.96092200406093,,,938.9353744983672
24,"[0.00000000e+00 5.26301476e+00 0.00000000e+00 1.00000000e+00
 1.60000000e+01 2.27185539e+03 9.50000000e+01]","[0.79112102 0.48       0.99999114 0.99998878 0.98573509 0.53
 0.99998878 0.99999632 0.99999632 0.99999632 0.27512368 0.52705525]",173.41086230241547,,,911.2849915027618
25,"[0.00000000e+00 5.27280696e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+01 3.75710497e+03 4.90000000e+01]","[0.3205966  0.21       0.99992084 0.93326125 0.77440083 0.23
 0.93326125 0.96814141 0.96814141 0.96814141 0.13948864 0.42820432]",194.63225935109625,,,893.3981907367706
26,"[0.00000000e+00 5.28420906e+00 0.00000000e+00 1.92609546e+00
 1.50000000e+01 2.49311778e+03 1.60000000e+01]","[0.36343603 0.36       0.999957   0.9524684  0.90521943 0.31
 0.9524684  0.96542144 0.96542144 0.96542144 0.181476   0.41652336]",200.5473227881085,,,955.8200266361235
27,"[0.00000000e+00 5.27922382e+00 0.00000000e+00 1.00665692e+00
 1.60399415e+01 2.00608907e+03 7.80000000e+01]","[0.24772053 0.36       0.99996798 0.90507626 0.81691927 0.44
 0.90507626 0.98016201 0.98016201 0.98016201 0.12123061 0.22755966]",173.1609863621702,,,1016.471773147583
28,"[0.00000000e+00 5.28335737e+00 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.32818609e+03 9.00000000e+00]","[0.36159085 0.41       0.9999167  0.99386881 0.91238495 0.26
 0.99386881 0.98529291 0.98529291 0.98529291 0.30906333 0.32827868]",186.3095358950576,,,868.3026876449585
29,"[0.00000000e+00 5.27280696e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+01 3.75710497e+03 6.50000000e+01]","[0.49497009 0.2        0.99996798 0.93326125 0.79668233 0.22
 0.93326125 0.96814141 0.96814141 0.96814141 0.14530703 0.42820432]",194.63225935109625,,,983.9680998325348
30,"[0.00000000e+00 5.27175681e+00 0.00000000e+00 3.00000000e+00
 1.60000000e+01 3.49783271e+03 9.20000000e+01]","[0.7004571  0.52       0.99998265 0.92686256 0.98959656 0.53
 0.92686256 0.76850267 0.76850267 0.76850267 0.24304062 0.55331692]",243.24048733660345,,,969.2189784049988
31,"[   0.            5.28922625    0.            1.99490713   19.90832834
 1926.50611805    2.        ]","[0.36285406 0.49       0.999957   0.98258051 0.89068518 0.48
 0.98258051 0.97087676 0.97087676 0.97087676 0.1550614  0.15195816]",222.73990201729657,,,917.7626118659972
32,"[0.00000000e+00 3.96496042e+01 0.00000000e+00 3.00000000e+00
 0.00000000e+00 3.88590060e+03 8.70000000e+01]","[0.36537033 0.5        0.99997944 0.99118171 0.18810021 0.51
 0.99118171 0.99981038 0.99981038 0.99981038 0.06922232 0.14179045]",251.0655322393162,,,995.5846476554872
33,"[   0.            5.27188408    0.            2.            6.
 1799.58082366   30.        ]","[0.15965879 0.38       0.9999167  0.96982354 0.75607705 0.35
 0.96982354 0.96097754 0.96097754 0.96097754 0.55020349 0.20593145]",162.07468393967076,,,810.8083922863007
34,"[0.00000000e+00 5.28067512e+00 0.00000000e+00 1.00000000e+00
 1.60336496e+01 3.80891914e+03 7.50000000e+01]","[0.80590754 0.27       0.99996798 0.95890553 0.80813537 0.26
 0.95890553 0.94388991 0.94388991 0.94388991 0.16081268 0.3532323 ]",177.5375992581197,,,964.6939821243286
35,"[   0.            5.27470187    0.            3.79553064   10.63618858
 1242.00063176   77.        ]","[0.09328656 0.48       0.9999773  0.9591958  0.96630898 0.41
 0.9591958  0.8802111  0.8802111  0.8802111  0.40117197 0.66271865]",240.65961588098997,,,962.534943819046
36,"[   0.            5.28649956    0.            3.           21.6282725
 2116.22071396   10.        ]","[0.61951698 0.51       0.999957   0.94703339 0.27465583 0.34
 0.94703339 0.94386722 0.94386722 0.94386722 0.34059995 0.61315819]",264.2014041416291,,,845.9745705127716
37,"[0.00000000e+00 5.27382744e+00 0.00000000e+00 1.00000000e+00
 2.20000000e+01 3.32917113e+03 7.40000000e+01]","[0.53989568 0.33       0.99996798 0.95515581 0.14309713 0.38
 0.95515581 0.899607   0.899607   0.899607   0.08849376 0.36729848]",202.2329130019324,,,830.4758038520813
38,"[0.00000000e+00 5.28799575e+00 0.00000000e+00 2.00000000e+00
 3.00000000e+00 3.18177092e+03 2.40000000e+01]","[0.44284323 0.32       0.9999167  0.97728315 0.76193433 0.26
 0.97728315 0.97446088 0.97446088 0.97446088 0.19447685 0.45811942]",152.61108656001483,,,901.2479658126832
39,"[   0.            5.28121536    0.            3.23263549   18.59307157
 2093.02845929   18.        ]","[0.27471888 0.48       0.999957   0.93738239 0.92166225 0.36
 0.93738239 0.93449903 0.93449903 0.93449903 0.23423897 0.77901735]",258.6881847060204,,,908.7414608001708
40,"[0.00000000e+00 5.27175681e+00 0.00000000e+00 1.96952157e+00
 2.08600728e+01 3.06572803e+03 5.70000000e+01]","[0.12131635 0.43       0.99996188 0.9524684  0.81428287 0.5
 0.9524684  0.94137154 0.94137154 0.94137154 0.08679115 0.45545382]",228.91399692300257,,,909.2090315818788
41,"[0.00000000e+00 5.28500191e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 2.19682756e+03 1.40000000e+01]","[0.44355018 0.36       0.99992915 0.96982354 0.86611568 0.27
 0.96982354 0.97136077 0.97136077 0.97136077 0.28196848 0.52271803]",174.7166189467855,,,872.7785134315491
42,"[0.00000000e+00 5.28135860e+00 0.00000000e+00 1.03854467e+00
 1.05843371e+01 3.83990344e+03 9.00000000e+00]","[0.73452115 0.34       0.99996732 0.98805838 0.88800742 0.25
 0.98805838 0.97723809 0.97723809 0.97723809 0.29933731 0.19305937]",155.21072431549607,,,905.2411346435548
43,"[0.00000000e+00 5.27280696e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+01 3.75710497e+03 6.00000000e+00]","[0.50337603 0.31       0.99994703 0.98137494 0.88800742 0.23
 0.98137494 0.97650504 0.97650504 0.97650504 0.1540855  0.19226515]",194.63225935109625,,,802.412947177887
44,"[   0.            5.28263025    0.            2.           16.
 1904.4077126     3.        ]","[0.84219603 0.47       0.999957   0.98258051 0.90041909 0.45
 0.98258051 0.97087676 0.97087676 0.97087676 0.57400276 0.1391795 ]",205.8456120817317,,,886.8024611473083
45,"[   0.            5.26984145    0.            2.           10.
 1362.53910271    7.        ]","[0.20941315 0.42       0.9999727  0.98955015 0.87914384 0.41
 0.98955015 0.97895541 0.97895541 0.97895541 0.70020698 0.43204276]",178.3408293124113,,,826.4068443775177
46,"[   0.            5.21106587    0.            2.           21.
 1895.56893003   99.        ]","[0.89281099 0.6        0.99999055 0.99998027 0.99729658 0.52
 0.99998027 0.9999947  0.9999947  0.9999947  0.49446375 0.08999035]",227.40304701590742,,,953.901436328888
