cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
3.0223,98.9445,70.71518585858585,97.92005656565657,55.54545454545455,0.0,9.100194949494949,69.68784747474747,1.0,True,False,True,False
2.0223,99.9445,71.71518585858585,92.86399595959595,54.54545454545455,0.0244,10.100194949494949,69.69748787878787,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,100.0,8.101183838383838,48.47447575757576,69.69748787878787,0.0,False,False,False,False
42.4023,99.9445,94.94634747474748,98.92005656565657,54.54545454545455,0.0244,45.44492727272727,54.55288181818181,0.0,False,False,True,False
2.0223,99.9445,94.94634747474748,98.92005656565657,54.54545454545455,0.0244,83.81920808080808,67.67820707070707,0.0,False,False,False,False
2.0223,99.9445,84.84584242424242,97.91071313131312,71.71717171717172,0.0244,45.44492727272727,76.7649707070707,0.0,True,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,71.71717171717172,55.55228888888888,53.52372323232324,49.50467979797979,0.0,False,False,False,True
2.0223,99.9445,84.84584242424242,92.86399595959595,55.55555555555556,0.0244,48.47447575757576,67.67820707070707,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,63.63636363636364,31.32193737373737,55.54342222222222,50.514320202020194,0.0,False,False,False,False
17.1648,99.9445,71.71518585858585,98.92005656565657,100.0,30.312339393939396,45.44492727272727,54.55288181818181,0.0,False,False,False,True
0.0033,99.9445,71.71518585858585,98.92005656565657,73.73737373737374,55.55228888888888,47.46462626262626,49.50467979797979,0.0,False,False,True,False
2.0223,99.9445,71.71518585858585,98.92005656565657,76.76767676767678,30.312339393939396,40.3956797979798,77.7746111111111,0.0,True,False,True,False
2.0223,99.9445,71.71518585858585,92.86399595959595,95.95959595959596,67.66746464646464,57.56312121212121,68.68784747474747,1.0,False,False,False,False
29.2788,99.9445,71.71518585858585,98.92005656565657,54.54545454545455,0.0244,27.267636363636363,76.7649707070707,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,18.181818181818183,0.0244,58.57297070707071,11.138344444444442,1.0,False,False,False,True
2.0223,64.63487373737374,71.71518585858585,97.91071313131312,72.72727272727273,0.0244,13.129743434343434,68.68784747474747,1.0,False,False,False,False
18.1743,99.9445,99.9966,98.92005656565657,0.0,99.9746,0.0017,99.9867,0.0,False,False,True,False
2.0223,99.9445,84.84584242424242,98.92005656565657,71.71717171717172,55.55228888888888,47.46462626262626,49.50467979797979,1.0,False,False,False,False
2.0223,99.9445,72.72523636363636,98.92005656565657,54.54545454545455,0.0244,53.52372323232324,49.50467979797979,0.0,False,False,False,False
18.1743,99.9445,71.71518585858585,92.86399595959595,65.65656565656566,0.0244,74.73056262626262,67.67820707070707,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,71.71717171717172,25.26434949494949,52.513873737373736,67.67820707070707,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,34.32207676767676,54.54545454545455,0.0244,57.56312121212121,68.68784747474747,1.0,False,False,False,True
2.0223,99.9445,94.94634747474748,98.92005656565657,100.0,4.062791919191919,26.257786868686868,69.69748787878787,0.0,False,False,False,False
2.0223,99.9445,98.9865494949495,82.77056161616161,57.57575757575758,54.54269090909091,47.46462626262626,69.69748787878787,0.0,False,False,True,False
2.0223,99.9445,67.67498383838384,98.92005656565657,71.71717171717172,8.101183838383838,52.513873737373736,49.50467979797979,1.0,False,False,False,False
2.0223,99.9445,88.88604444444445,98.92005656565657,54.54545454545455,8.101183838383838,26.257786868686868,74.7456898989899,0.0,False,False,False,True
4.0223,97.9445,69.71518585858585,97.9294,73.71717171717172,0.0,8.100194949494949,71.69748787878787,1.0,True,False,False,False
0.0033,99.9445,71.71518585858585,92.86399595959595,73.73737373737374,8.101183838383838,57.56312121212121,68.68784747474747,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,18.181818181818183,0.0244,10.100194949494949,68.68784747474747,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,71.71717171717172,67.66746464646464,57.56312121212121,68.68784747474747,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,40.40404040404041,0.0244,10.100194949494949,68.68784747474747,1.0,True,False,False,False
29.2788,99.9445,71.71518585858585,98.92005656565657,100.0,30.312339393939396,45.44492727272727,50.514320202020194,0.0,False,False,False,False
2.0223,79.7675707070707,71.71518585858585,97.91071313131312,79.7979797979798,67.66746464646464,47.46462626262626,18.20582727272727,1.0,False,False,False,True
3.0223,98.9445,70.71518585858585,97.92005656565657,51.505050505050505,0.0,9.100194949494949,70.69748787878787,1.0,True,False,False,False
2.0223,99.9445,98.9865494949495,92.86399595959595,49.494949494949495,0.0244,10.100194949494949,69.69748787878787,0.0,False,False,True,True
2.0223,99.9445,83.83579191919192,98.92005656565657,54.54545454545455,0.0244,40.3956797979798,76.7649707070707,0.0,False,False,True,True
2.0223,99.9445,71.71518585858585,92.86399595959595,92.92929292929294,0.0244,57.56312121212121,68.68784747474747,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,95.95959595959596,0.0244,10.100194949494949,68.68784747474747,1.0,True,False,False,False
2.0223,99.9445,98.9865494949495,97.91071313131312,54.54545454545455,0.0244,69.68131515151515,68.68784747474747,1.0,False,False,False,False
14.1363,99.9445,99.9966,98.92005656565657,79.7979797979798,56.56188686868686,45.44492727272727,50.514320202020194,0.0,False,False,False,False
2.0223,64.63487373737374,71.71518585858585,97.91071313131312,95.95959595959596,67.66746464646464,57.56312121212121,68.68784747474747,1.0,False,False,False,False
29.2788,99.9445,71.71518585858585,98.92005656565657,58.58585858585859,32.33153535353535,15.149442424242425,39.40827575757575,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,98.989898989899,67.66746464646464,82.80935858585859,84.84209393939393,1.0,False,False,False,False
2.0223,99.9445,98.9865494949495,81.76121818181818,49.494949494949495,8.101183838383838,53.52372323232324,80.80353232323232,0.0,False,False,False,False
2.0223,99.9445,94.94634747474748,98.92005656565657,60.60606060606061,55.55228888888888,15.149442424242425,41.42755656565656,0.0,False,False,False,True
2.0223,99.9445,71.71518585858585,92.86399595959595,95.95959595959596,67.66746464646464,47.46462626262626,68.68784747474747,0.0,False,False,False,True
2.0223,99.9445,71.71518585858585,92.86399595959595,40.40404040404041,0.0244,10.100194949494949,68.68784747474747,1.0,False,False,False,False
2.0223,99.9445,99.9966,34.32207676767676,40.40404040404041,0.0244,10.100194949494949,69.69748787878787,1.0,True,False,False,True
2.0223,99.9445,71.71518585858585,98.92005656565657,100.0,0.0244,10.100194949494949,68.68784747474747,0.0,False,False,True,False
29.2788,99.9445,94.94634747474748,98.92005656565657,54.54545454545455,54.54269090909091,44.43507777777778,85.85173434343433,0.0,False,False,False,False
2.0223,99.9445,84.84584242424242,97.91071313131312,100.0,8.101183838383838,57.56312121212121,68.68784747474747,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,95.95959595959596,67.66746464646464,44.43507777777778,68.68784747474747,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,96.96969696969695,16.177967676767675,46.45477676767677,69.69748787878787,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,71.71717171717172,67.66746464646464,10.100194949494949,68.68784747474747,1.0,True,False,False,False
