,custom_adaptation,custom_confidence,custom_score,custom_time
40,[ 5.33515423  3.0946      3.3525     14.          1.          1.        ],[0.6450636  0.61233785 0.56341997],0.007447871826140151,0.5322349071502686
41,[16.76600962  2.0414      4.1125     26.          0.          0.        ],[0.56614497 0.5610951  0.49085962],0.26146688042974187,0.5903775691986084
42,[10.34169812  7.7437      1.4451     25.          0.          2.        ],[0.77553528 0.35185051 0.37656995],0.11870440274997651,0.5575463771820068
43,"[  5.01953055   7.9457       7.0882     -23.           1.
   0.        ]",[0.32510206 0.59339249 0.14845066],0.00043401232783013555,0.567091703414917
44,[33.07427889  6.7648      6.0385     16.          1.          0.        ],[0.30431497 0.43928433 0.25658038],0.6238728642955891,0.5578010082244873
45,[15.24951957  9.7811      5.3362     -2.          1.          1.        ],[0.4231732  0.41764882 0.31463179],0.22776710163471503,0.5525271892547607
46,[5.54979121 3.1567     2.5412     6.         0.         2.        ],[0.72302064 0.64892651 0.56823628],0.012217582510324232,0.5764849185943604
47,[5.3344042 5.9022    6.6173    7.        2.        2.       ],[0.35185713 0.56954006 0.39969481],0.007431204494885879,0.577162504196167
48,[ 5.13941601  5.4888      1.8143     14.          1.          2.        ],[0.75009907 0.5256189  0.46665168],0.0030981336435946805,0.6148984432220459
49,"[ 11.90849476   5.8609       6.205      -29.           0.
   0.        ]",[0.38748727 0.69183261 0.28019039],0.15352210578982717,0.772524356842041
50,[23.49495624  8.234       2.1249     12.          0.          0.        ],[0.67549841 0.37317019 0.27973904],0.41099902751530193,0.5533440113067627
51,[18.12217518  1.9609      8.9593     -4.          0.          1.        ],[0.20066392 0.7342583  0.16456098],0.2916038928093002,0.620302677154541
52,[ 9.39261074  5.0203      3.2536     -7.          1.          0.        ],[0.62212039 0.62920774 0.57901434],0.09761357191725717,0.58968186378479
53,[13.54977599  6.7009      1.2407     30.          1.          0.        ],[0.75830673 0.35549753 0.50607921],0.18999502207613517,0.587317705154419
54,[ 5.32063376  7.0269      5.2606     -8.          2.          2.        ],[0.45059362 0.60256499 0.54574187],0.007125194625421383,0.5512702465057373
55,[6.77241449 2.5637     4.182      5.         0.         1.        ],[0.59685589 0.6632408  0.51317461],0.03938698856773859,0.5472753047943115
56,"[  7.91132424   8.6298       2.1659     -13.           1.
   1.        ]",[0.70212622 0.523716   0.49594402],0.06469609419517552,0.7911324501037598
57,[17.15491648  1.4089      9.1541     13.          0.          2.        ],[0.19598556 0.69035237 0.12696742],0.2701092551103059,0.5488064289093018
58,[17.66873547  0.2716      4.114      14.          0.          0.        ],[0.55895296 0.6957207  0.42258093],0.2815274548269272,0.5682559013366699
59,[ 5.01382349  4.9665      1.7005     -6.          2.          2.        ],[0.73029856 0.67311073 0.67311799],0.00030718860769529677,0.5531423091888428
60,[ 5.17662329  3.242       2.0807     14.          2.          1.        ],[0.71296843 0.62410886 0.51174078],0.00392496202888748,0.6183986663818359
61,"[  8.52780324   6.9667       7.0261     -24.           1.
   1.        ]",[0.31737502 0.6564847  0.32371434],0.07839562754903784,0.5745463371276855
62,[28.80027564  9.6613      3.2979     19.          0.          0.        ],[0.56283492 0.28628645 0.19230128],0.5288950142542262,0.5547809600830078
63,"[ 14.19132996   7.0003       9.5942     -10.           1.
   2.        ]",[0.15631759 0.60198521 0.23113393],0.20425177690448504,0.5535891056060791
64,[ 8.88151264  1.0774      6.1891     -9.          1.          0.        ],[0.39186281 0.78104988 0.33302916],0.086255836409731,0.657461404800415
65,"[ 29.21801673   2.1019       3.9552     -17.           2.
   2.        ]",[0.45003674 0.82062538 0.48785577],0.5381781496204796,0.5430417060852051
66,"[  5.01781365   3.6043       4.4661     -15.           2.
   0.        ]",[0.51632019 0.73722531 0.62345085],0.0003958589174090088,1.0251758098602295
67,[11.17409679  1.5918      6.5905     11.          2.          2.        ],[0.33674625 0.72230694 0.31203401],0.13720215098055288,0.5507571697235107
68,[ 16.9409876   0.1325      4.0838    -13.          0.          1.       ],[0.55387688 0.82143458 0.53807226],0.26535527995106134,0.5344769954681396
69,[11.01431915  5.2167      6.3601     -5.          0.          1.        ],[0.39213335 0.61082891 0.31146251],0.13365153661087192,0.5702602863311768
70,[ 8.56248018  2.9333      5.5727     21.          2.          0.        ],[0.42699382 0.58655078 0.20807959],0.07916622620207192,0.5677511692047119
71,[5.06727186 4.588      6.0357     2.         1.         2.        ],[0.42378215 0.63209508 0.52581664],0.0014949301763016454,0.5432424545288086
72,[5.13941601 3.4284     3.5265     7.         2.         1.        ],[0.6035044  0.65371683 0.48620544],0.0030981336435946805,0.60164475440979
73,"[  5.00319313   6.0987       5.2308     -22.           1.
   2.        ]",[0.47637935 0.69281749 0.57716287],7.095846124238747e-05,0.7192051410675049
74,[ 6.90454815  4.2709      2.9757     18.          1.          2.        ],[0.66781758 0.55784533 0.57141248],0.042323292215744046,0.5923404693603516
75,[ 5.70259866  0.492       8.5041     -9.          2.          2.        ],[0.22491358 0.83109397 0.36163479],0.015613303481754492,0.2633788585662842
76,[11.796434  4.9121    5.2666   22.        1.        0.      ],[0.46142208 0.47650691 0.22091252],0.1510318665688618,0.5814054012298584
77,"[  5.80282657   1.2812       6.5113     -27.           1.
   2.        ]",[0.37467778 0.85506472 0.61074554],0.017840590427485647,0.46871137619018555
78,[14.69091283  2.3307      6.7428      9.          2.          0.        ],[0.30737433 0.67676915 0.22160046],0.2153536184622874,0.5563998222351074
79,[21.18164796  0.257       6.306      27.          1.          0.        ],[0.34640784 0.65226984 0.19277666],0.3595921768445325,0.5369656085968018
80,"[ 18.88074982   8.5556       9.6291     -14.           0.
   2.        ]",[0.15543206 0.53992361 0.14968266],0.308461107028552,0.5527262687683105
81,"[  5.02140743   1.2023       1.641      -11.           0.
   0.        ]",[0.77465656 0.76788131 0.74377445],0.0004757207090361204,0.8163447380065918
82,[8.09667358 0.087      3.6321     5.         0.         1.        ],[0.63726248 0.75264252 0.55822888],0.0688149683896826,0.5528676509857178
83,[  6.2084007   3.4957      1.0278    -19.          1.          1.       ],[0.78298193 0.75464258 0.7473846 ],0.026853348881259453,1.2574357986450195
84,"[  5.00828629   3.3737       5.4528     -15.           2.
   2.        ]",[0.43848865 0.770952   0.66888836],0.000184139799533245,0.7760219573974609
85,[ 7.31848665  4.6366      5.0113     20.          1.          2.        ],[0.50539981 0.53235026 0.52664246],0.05152192559155322,0.6366169452667236
86,[5.31182633 9.7466     1.9524     4.         0.         2.        ],[0.75312088 0.37806023 0.26026219],0.006929474000167746,0.8512365818023682
87,[  6.1615574   5.2245      7.6388    -26.          1.          2.       ],[0.28665381 0.74362988 0.43184488],0.025812386685581612,0.5773661136627197
88,"[  5.00926106   9.1917       2.3377     -13.           2.
   2.        ]",[0.67881988 0.53511028 0.53669761],0.00020580128524994024,0.8689854145050049
89,"[ 11.35035615   5.8656       5.7258     -27.           0.
   0.        ]",[0.42899887 0.68149923 0.30807113],0.1411190256535727,0.844951868057251
90,[ 9.48186445  5.8852      5.319      25.          1.          2.        ],[0.47052173 0.45092838 0.48014886],0.09959698788439719,0.5522348880767822
91,[11.72127408  2.1229      2.4674     20.          0.          0.        ],[0.7089472  0.58728064 0.58381097],0.14936164628234483,0.5586645603179932
92,"[ 24.57814003   9.7277       6.6474     -18.           0.
   0.        ]",[0.30119806 0.47690405 0.18859954],0.43506977849392026,0.5445866584777832
93,[12.38504265  8.7232      8.2067     -9.          2.          2.        ],[0.21213478 0.54035387 0.36518657],0.1641120588222642,0.5641086101531982
94,"[  6.66841841   0.2903       3.3302     -26.           2.
   2.        ]",[0.60318441 0.88064188 0.81263022],0.03707596464037377,0.2753279209136963
95,[5.01783886 3.0781     5.4373     1.         2.         2.        ],[0.44749405 0.71218845 0.6204306 ],0.0003964190654515143,0.563431978225708
96,[  5.0301493   3.8929      4.4307    -13.          2.          1.       ],[0.52104328 0.73214555 0.64829319],0.0006699843773938507,0.8029129505157471
97,[ 5.03365952  8.9683      7.2942     10.          1.          1.        ],[0.32352907 0.38402961 0.11020271],0.0007479892454109738,0.7949116230010986
98,[5.01382349 0.8087     3.3564     0.         0.         2.        ],[0.66897682 0.76167619 0.72481101],0.00030718860769529677,0.5517702102661133
99,[22.69255627  5.0439      0.8644     10.          0.          0.        ],[0.76466296 0.52014682 0.51994127],0.3931679171457386,0.5540204048156738
100,"[  9.15000789   9.4942       3.45       -23.           1.
   0.        ]",[0.59439758 0.52602557 0.40894802],0.0922223975343841,0.6616277694702148
101,"[  5.04684681   3.5036       4.4306     -18.           0.
   2.        ]",[0.57435134 0.74967022 0.62292014],0.0010410401337545006,0.7440385818481445
102,[33.86495082  5.8972      7.3225     18.          0.          1.        ],[0.24202399 0.46457046 0.19459692],0.6414433514767024,0.5690734386444092
103,"[  5.15266493   3.1257       5.227      -13.           1.
   2.        ]",[0.48455935 0.75629717 0.59752016],0.0033925539453173448,0.7774760723114014
104,"[  9.85545939   9.022        6.5488     -18.           0.
   2.        ]",[0.37281403 0.53589915 0.27690545],0.10789909760293792,0.5643842220306396
105,[20.45762058  2.3366      9.6933     21.          0.          2.        ],[0.16230163 0.61461688 0.08104597],0.3435026795938285,0.5482897758483887
106,"[  7.71077142   8.5106       0.2545     -25.           0.
   0.        ]",[0.82811976 0.55749676 0.83814197],0.060239364821732644,0.6370823383331299
107,[ 5.02457125  6.8132      0.5596     16.          0.          2.        ],[0.83468061 0.43598734 0.39564847],0.0005460278862768897,0.5416274070739746
108,[ 9.12294894  6.5906      1.6323     22.          0.          1.        ],[0.76791591 0.39828818 0.4060442 ],0.09162108765973509,0.646007776260376
109,[12.61060272  0.4485      6.8934      8.          0.          2.        ],[0.3575665  0.74427145 0.2974153 ],0.16912450478266838,0.5901269912719727
110,[18.08255879  8.0147      9.0791     30.          0.          1.        ],[0.19515963 0.3087326  0.04482044],0.29072352866829076,0.5523967742919922
111,[11.28414486  2.969       4.3276     25.          1.          2.        ],[0.54790641 0.57804826 0.55804419],0.1396476635245183,0.5521190166473389
112,[ 5.01929817  9.0424      0.9581     14.          2.          1.        ],[0.77702489 0.37450788 0.32371107],0.00042884813681343115,0.7904620170593262
113,"[  5.67331816   2.63         9.9452     -24.           2.
   1.        ]",[0.1471052  0.81606673 0.25197846],0.01496262582423824,0.515639066696167
114,[ 9.09468579  6.6811      3.5537     -2.          2.          1.        ],[0.57483422 0.56822101 0.56955409],0.0909930176141569,0.5449564456939697
115,[5.18571909 3.5386     0.9734     8.         2.         1.        ],[0.77928923 0.64264911 0.46503285],0.004127090905774788,0.550910234451294
116,[ 6.97700139  3.5306      4.8251     -3.          2.          0.        ],[0.48335477 0.68554588 0.56698579],0.04393336430933881,0.5953559875488281
117,[ 5.01039693  8.5054      2.8348     17.          0.          2.        ],[0.70303399 0.3611307  0.28596804],0.00023104297985454547,0.5826919078826904
118,[ 5.10958744  8.5597      0.2027     25.          2.          0.        ],[0.81957659 0.32151276 0.64649423],0.0024352765203414783,0.7959752082824707
119,[30.00335933  2.7246      6.7227     14.          0.          1.        ],[0.29714265 0.62140286 0.26118532],0.5556302073030096,0.739055871963501
120,"[ 36.49300332   2.2629       1.2651     -23.           2.
   2.        ]",[0.63140119 0.83656615 0.51069575],0.6998445181889539,0.29869604110717773
121,[11.38104117  1.1338      7.7921      8.          1.          2.        ],[0.27452217 0.73648777 0.24874604],0.14180091493429092,0.588808536529541
122,"[  6.02453943   5.2721       9.9462     -30.           0.
   0.        ]",[0.17089213 0.71787053 0.05845927],0.022767542793569517,0.5623090267181396
123,[ 6.38906386  6.1991      1.9274     -1.          2.          1.        ],[0.7093858  0.58113762 0.59493409],0.030868085734385597,0.5722172260284424
124,"[ 24.64745234   8.3999       9.7802     -18.           0.
   1.        ]",[0.13450893 0.55436467 0.10303667],0.4366100519102286,0.568108320236206
125,"[  5.06250023   2.5716       5.0913     -19.           2.
   2.        ]",[0.46706177 0.8089608  0.73061135],0.0013888940317646759,0.4553852081298828
126,[ 5.13941601  3.8716      4.9085     13.          1.          2.        ],[0.52185151 0.60271082 0.5013039 ],0.0030981336435946805,0.5771656036376953
127,[24.86257293  9.2073      4.1609      9.          1.          0.        ],[0.47926962 0.3694553  0.21027404],0.44139050963529636,0.9742152690887451
128,[ 12.3927933   4.5995      1.6711    -28.          1.          0.       ],[0.71655071 0.74563082 0.72142756],0.16428429554727375,0.5625452995300293
129,[ 5.00328972  9.4222      6.3411     19.          2.          1.        ],[0.37342041 0.33683476 0.13256973],7.310486993228338e-05,0.8189816474914551
130,[17.66960615  4.8122      4.6868      2.          0.          0.        ],[0.49976619 0.57499697 0.32854671],0.2815468032747873,0.5652287006378174
131,"[ 23.34261425   8.2575       7.7739     -19.           1.
   0.        ]",[0.21559041 0.56658313 0.18575201],0.4076136499575348,0.5527744293212891
132,[15.70201648  6.2628      7.687      -8.          0.          0.        ],[0.27291095 0.56886061 0.12662014],0.2378225884210522,0.5653719902038574
133,[11.48977778  8.8141      8.9338     29.          2.          2.        ],[0.18775203 0.33015347 0.12687991],0.14421728391924404,0.5984852313995361
134,[ 5.59865191  1.7146      0.2528     12.          1.          2.        ],[0.83528149 0.69118236 0.59735085],0.01330337583909924,0.5313034057617188
135,"[  5.15465645   7.657        2.3949     -16.           1.
   2.        ]",[0.69822981 0.59822516 0.57501708],0.0034368100613859642,0.7845768928527832
136,[13.14595971  1.6132      6.5337      1.          1.          0.        ],[0.35049638 0.72346967 0.28671508],0.18102132689456385,0.5903270244598389
137,[14.27015403  3.2547      2.4323     13.          2.          2.        ],[0.68897899 0.64518531 0.52009603],0.20600342281272854,0.5728151798248291
138,"[  5.45368173   9.3891       0.6166     -23.           0.
   2.        ]",[0.81824855 0.54192835 0.78815633],0.010081816225275042,0.6703932285308838
139,"[  6.99617245   1.4331       4.4656     -28.           2.
   0.        ]",[0.50430719 0.84654028 0.63329329],0.04435938768098413,0.2637906074523926
140,"[  5.01707088   2.2858       8.3424     -15.           0.
   1.        ]",[0.27265322 0.76563147 0.18244776],0.00037935282550838334,0.754838228225708
141,"[ 27.64288785   9.1831       7.6372     -23.           0.
   1.        ]",[0.22699803 0.54809108 0.18302207],0.5031752856152192,0.7129724025726318
142,[12.74166917  3.8372      9.2345     -5.          2.          1.        ],[0.16430478 0.70311167 0.23943807],0.17203709262239075,0.7825331687927246
143,[ 5.06145697  7.0527      2.9803     -9.          2.          2.        ],[0.63546846 0.60528573 0.61032854],0.001365710336751702,0.5600452423095703
144,[12.97422756  3.6898      1.0281     26.          0.          1.        ],[0.79389036 0.50280129 0.63808789],0.1772050569069874,0.6077120304107666
145,[21.66603511  4.2873      9.707      16.          2.          1.        ],[0.12878775 0.58142765 0.07560022],0.3703563358142884,0.602116584777832
146,[5.3362874 7.3109    6.9996    7.        1.        2.       ],[0.34602843 0.48867524 0.27664991],0.007473053278281849,0.7133283615112305
147,[14.27087979  3.0499      1.5683     28.          0.          1.        ],[0.76023236 0.52053504 0.65005373],0.20601955091737156,0.8576223850250244
148,[ 8.02287851  3.2102      3.9269     -7.          1.          0.        ],[0.57759199 0.69961215 0.56634568],0.06717507808828127,0.609889030456543
149,"[  5.25342859   8.9434       3.987      -30.           2.
   1.        ]",[0.54110304 0.62279497 0.54637051],0.0056317464985790044,0.5645115375518799
150,[ 5.03580722  9.2095      4.722      16.          1.          1.        ],[0.52984013 0.34154132 0.13559379],0.0007957159335483244,0.7927005290985107
151,[ 5.13941601  4.4146      3.006      12.          1.          2.        ],[0.67021388 0.58393988 0.52314573],0.0030981336435946805,0.5522167682647705
152,[15.17381158  6.2197      8.1577     10.          1.          2.        ],[0.23343032 0.52476904 0.18493454],0.22608470181900198,0.5677807331085205
153,[21.40319972  5.4686      7.377       9.          2.          0.        ],[0.23781233 0.55047902 0.15492283],0.36451554923183016,0.5458800792694092
154,[5.00584263 3.5386     0.1671     8.         2.         2.        ],[0.82287664 0.65789505 0.4931154 ],0.00012983622744089374,0.5394487380981445
155,[11.3233505  8.5825     9.3707    28.         2.         1.       ],[0.16638365 0.3289176  0.04501592],0.1405188999572602,0.570075273513794
156,[ 5.53254102  4.3706      3.564      16.          1.          2.        ],[0.62848646 0.56439366 0.58235925],0.011834244839251218,0.6088814735412598
157,[7.47970399 0.2302     4.6154     2.         1.         0.        ],[0.53258454 0.76250476 0.44314256],0.055104533070800654,0.5866296291351318
158,[  5.0536712   6.9483      3.984     -21.          0.          1.       ],[0.60235167 0.62005221 0.47528847],0.0011926933935946238,0.725733757019043
159,[20.83079843  0.6452      6.7438     25.          0.          1.        ],[0.33972933 0.64487727 0.23431587],0.3517955205886425,0.5526463985443115
160,"[1.37684915e+01 1.16000000e-02 3.80280000e+00 1.70000000e+01
 0.00000000e+00 1.00000000e+00]",[0.60457682 0.70410727 0.48874107],0.1948553659893676,0.5525219440460205
161,[16.75156549  3.041       2.4439     28.          2.          1.        ],[0.65039074 0.56156696 0.38384504],0.26114589981035374,0.680633544921875
162,"[ 24.56697446   4.0111       9.9718     -22.           0.
   0.        ]",[0.1289428  0.73268193 0.0989914 ],0.43482165461915256,0.8087308406829834
163,[26.1331291  3.1758     7.1357    11.         1.         0.       ],[0.25973635 0.61961478 0.19190175],0.469625091181638,0.5570852756500244
164,[19.2344376  7.1675     3.3067     7.         1.         0.       ],[0.5772335  0.46396339 0.30412139],0.31632083559022706,0.7289581298828125
165,[11.39511136  0.4205      1.6431     21.          1.          0.        ],[0.7448198  0.6693549  0.71578135],0.14211358575826127,0.5658433437347412
166,"[  5.85940601   9.6141       3.2095     -20.           2.
   0.        ]",[0.60321494 0.52215729 0.4675891 ],0.019097911347121466,0.7838947772979736
167,[10.66612719  3.0607      4.3398     25.          2.          2.        ],[0.52261647 0.59315571 0.50281179],0.12591393746031931,0.8393712043762207
168,[ 6.19931313  4.2641      5.5393     15.          1.          2.        ],[0.46539314 0.57606051 0.44383665],0.02665140280230116,0.619232177734375
169,"[  5.34370858   4.1052       5.8339     -21.           0.
   1.        ]",[0.45442875 0.72979144 0.4303503 ],0.0076379684936909165,0.6994731426239014
170,[12.24932195  6.6634      2.7678     28.          0.          1.        ],[0.68462351 0.36550436 0.42570936],0.16109604339320693,0.5558719635009766
171,[11.34425851  4.9843      4.4157     -9.          1.          0.        ],[0.51896516 0.64259478 0.49025107],0.14098352244316326,0.9195966720581055
