formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.5016204432593931,32.6255747822265,0.0725662789532016,2.0,16.0,38825.4744,23.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0029146618242915,11.718792807863144,0.413345264234212,4.0,16.0,35549.8926,98.0,True,False,True,False,False,True,False,True,True,True,True,True
0.2277019516095986,38.91770560508816,0.4076697842070709,1.0,16.0,2351.6894,97.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0026805069894479,9.787523989541784,0.0041737950718503,2.0,17.0,7039.0514,89.0,True,True,True,True,True,True,True,True,True,True,True,True
0.5005544778121142,5.035405262186303,0.5229393757233902,3.0,17.0,29873.5991,18.0,True,True,True,True,True,True,True,True,True,True,True,True
0.3949445847381081,34.05129545682113,2.297717617131749e-05,2.0,15.0,23036.9433,66.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4678229396656251,24.96372175452247,0.0247564409952615,4.0,22.0,27826.719,99.0,True,False,True,False,False,True,False,True,True,True,True,True
0.9653477019386812,6.864419353919938,0.3747748231277295,4.0,9.0,18748.4807,85.0,True,True,True,True,True,True,True,True,True,True,True,True
0.1702094204388836,32.48988415291313,3.884455168926829e-05,2.0,11.0,18423.0003,65.0,True,True,True,True,True,True,True,True,True,True,True,True
0.703452895264342,35.669690757079465,0.1541693808390479,1.0,7.0,17034.454,51.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0139041628000564,26.420185837708917,1.0232575826009956e-05,2.0,14.0,8233.747,53.0,True,True,True,True,True,True,True,True,True,True,True,True
0.502266115325281,35.15632547303211,0.1566476255958638,1.0,5.0,8683.6688,15.0,True,True,True,True,True,True,True,True,True,True,True,True
0.1188326984498611,39.685422696129045,0.0215018589786776,2.0,22.0,19904.4932,84.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4877745578934362,5.002327112207144,0.4085513262470331,3.0,15.0,29057.4414,21.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4630036778286529,22.107416869972457,0.0130108390209205,1.0,8.0,15156.2272,90.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9752096003804424,30.930883620483076,4.7162540425534266e-05,3.0,3.0,25650.9237,94.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4988052297277988,25.434317409348097,0.486148387792774,1.0,3.0,14576.4441,2.0,True,False,True,False,False,True,False,True,True,True,True,True
0.4902401149514242,33.229024471837675,0.2748631243909232,2.0,15.0,16283.4123,17.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4823073967216881,49.00959324713548,0.4737495760523317,4.0,19.0,30192.2165,74.0,True,True,True,True,True,True,True,True,True,True,True,True
0.8718997602747908,33.259864857008594,0.3561905425032583,3.0,7.0,24784.4542,70.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4588255947716098,30.099835901491836,0.0220705491619328,3.0,14.0,4351.1704,6.0,True,True,True,True,True,True,True,True,True,True,True,True
0.7522513870748284,39.08879241360323,0.3565309626522095,1.0,14.0,9363.0881,55.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0955812726762025,32.3546032720503,0.0236248406239617,3.0,10.0,15293.2738,30.0,True,True,True,True,True,True,True,True,True,True,True,True
0.490587059010912,34.60656433756322,0.4921699091053494,2.0,14.0,8199.1892,5.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0036904702044551,11.278468385829608,0.0428028664125945,4.0,12.0,10971.107,90.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0039169496347926,24.219099179679,0.0239389678780263,4.0,19.0,28225.7199,92.0,True,True,True,True,True,True,True,True,True,True,True,True
0.4310467226118816,41.30520045260496,0.0130282478641338,1.0,18.0,33260.5292,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9973596500516472,6.246839590918763,1.9485482437413776e-05,2.0,12.0,3177.1096,80.0,True,True,True,True,True,True,True,True,True,True,True,True
0.3566735451116707,35.60265608299062,0.6944997513168805,2.0,1.0,20263.6572,65.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9738816953694378,10.710478431104374,0.2343012947168744,4.0,13.0,31973.8124,73.0,True,True,True,True,True,True,True,True,True,True,True,True
