,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
43,"[  6.37241029   0.26600068   7.0882     -23.           1.
   0.        ]",[0.32952663 0.84896064 0.36307524],322.0182096067728,,,0.8102807998657227
44,[17.74699945  0.03247679  6.0385     16.          1.          0.        ],[0.37706327 0.71272942 0.19266663],295.6760226603134,,,0.8188161849975586
45,[ 5.02915468  5.07967797  5.3362     -2.          1.          1.        ],[0.47703396 0.61619513 0.44716403],296.61327671197535,,,0.8163690567016602
46,[6.61481616 0.82974338 2.5412     6.         0.         2.        ],[0.72179789 0.73576566 0.63848875],297.2438727809136,,,0.8204555511474609
47,[10.7418578   0.88306278  6.6173      7.          2.          2.        ],[0.33583833 0.76302239 0.36840044],296.24149501429173,,,0.8163342475891113
48,[10.69156291  0.47845008  1.8143     14.          1.          2.        ],[0.73961912 0.72886086 0.53919382],294.39881282837865,,,0.8095448017120361
49,"[ 6.24481113e+00  2.29804003e-02  6.20500000e+00 -2.90000000e+01
  0.00000000e+00  0.00000000e+00]",[0.42113356 0.86079006 0.38102379],329.01683073111474,,,0.5439825057983398
50,[ 8.87374849  1.20282213  2.1249     12.          0.          0.        ],[0.74011935 0.66546432 0.58471943],293.5460263584729,,,0.5770971775054932
51,[10.43971212  1.41402037  8.9593     -4.          0.          1.        ],[0.22103193 0.75040747 0.13395416],304.0663917511066,,,0.5926864147186279
52,"[ 2.45613764e+01  9.94881281e-03  3.25360000e+00 -7.00000000e+00
  1.00000000e+00  0.00000000e+00]",[0.56117035 0.80752207 0.53015493],328.2978276244245,,,0.8573901653289795
53,[16.87634211  0.34198381  1.2407     30.          1.          0.        ],[0.75380586 0.6284364  0.78031275],285.29365829624464,,,0.5689780712127686
54,[ 8.42567881  1.14366342  5.2606     -8.          2.          2.        ],[0.44488504 0.81043983 0.58858674],310.02141538955027,,,0.8152132034301758
55,[7.97002746 1.01969054 4.182      5.         0.         1.        ],[0.59368091 0.721221   0.51195962],297.76833691921235,,,0.5972602367401123
56,"[  9.05041163   1.67430753   2.1659     -13.           1.
   1.        ]",[0.70625152 0.78852951 0.70038091],318.2102041016491,,,0.584322452545166
57,[18.4937226   0.56049113  9.1541     13.          0.          2.        ],[0.19286805 0.72168863 0.12561525],295.7791314726548,,,0.8088383674621582
58,[13.95262848  0.35743515  4.114      14.          0.          0.        ],[0.57579532 0.69111724 0.39333449],295.4811933314578,,,0.690133810043335
59,[ 5.62727322  1.06996518  1.7005     -6.          2.          2.        ],[0.73256812 0.80318867 0.70457555],308.8568080386119,,,0.5767202377319336
60,[17.17867355  0.47904365  2.0807     14.          2.          1.        ],[0.66882221 0.73353846 0.37169606],300.618929903065,,,0.5672080516815186
61,"[  7.05249314   3.94204256   7.0261     -24.           1.
   1.        ]",[0.32726291 0.76408185 0.44232514],320.08435058604414,,,0.8048577308654785
62,[19.45096569  0.76207129  3.2979     19.          0.          0.        ],[0.61752217 0.65241977 0.47597197],296.39099439993515,,,0.5524334907531738
63,"[  6.88635258   0.81926645   9.5942     -10.           1.
   2.        ]",[0.18041072 0.8151956  0.2080526 ],306.47288613320916,,,1.5900382995605469
64,[ 8.13285287  0.8505251   6.1891     -9.          1.          0.        ],[0.39550625 0.78755146 0.32470533],310.0932277660799,,,0.8078882694244385
65,"[  5.55161542   0.97047496   3.9552     -17.           2.
   2.        ]",[0.56128933 0.84248101 0.76975744],317.6259404654185,,,0.8110473155975342
66,"[  5.71000001   2.45342304   4.4661     -15.           2.
   0.        ]",[0.51479834 0.77461351 0.60516692],313.79047697162036,,,0.6457738876342773
67,[11.20011172  0.54630925  6.5905     11.          2.          2.        ],[0.33801558 0.75753793 0.29777162],293.0633024708297,,,0.7811076641082764
68,"[  5.96710261   1.22075055   4.0838     -13.           0.
   1.        ]",[0.60206421 0.78848793 0.59130109],313.6625520598752,,,0.5544145107269287
69,[20.6307871   0.42020693  6.3601     -5.          0.          1.        ],[0.35687052 0.78728002 0.32649457],318.85048016815534,,,0.562816858291626
70,[ 9.71311147  0.61694674  5.5727     21.          2.          0.        ],[0.42509811 0.68086931 0.21040623],282.52346472941747,,,0.605581521987915
71,[7.57624966 2.3244827  6.0357     2.         1.         2.        ],[0.4156641  0.71958736 0.50201148],297.2160669687981,,,0.5707659721374512
72,[9.08661343 2.79804923 3.5265     7.         2.         1.        ],[0.58670886 0.67981526 0.47424545],295.7620642089937,,,0.835015058517456
73,"[  7.53416633   0.50394924   5.2308     -22.           1.
   2.        ]",[0.47286145 0.85795961 0.6888048 ],323.7994170898759,,,0.8148338794708252
74,[ 9.30246927  1.30834793  2.9757     18.          1.          2.        ],[0.6617683  0.68047338 0.5810763 ],287.01842134543483,,,0.8054919242858887
75,[ 8.35050971  3.45010318  8.5041     -9.          2.          2.        ],[0.213501   0.74642377 0.34964535],305.3963065255425,,,0.8213479518890381
76,"[1.78518613e+01 3.13077827e-03 5.26660000e+00 2.20000000e+01
 1.00000000e+00 0.00000000e+00]",[0.44069748 0.68506515 0.25411053],290.5821305609812,,,0.8132169246673584
77,"[  7.64846476   0.65353568   6.5113     -27.           1.
   2.        ]",[0.36752844 0.86854861 0.60238375],327.4836290842271,,,0.3248019218444824
