Model,Memory Peak (MB),Time
GradientBoostingClassifier,0.7902374267578125,2.6674253940582275
GradientBoostingClassifier,0.8460969924926758,2.2184035778045654
XGBClassifier,0.8764724731445312,1.276503562927246
GradientBoostingClassifier,0.9022302627563477,2.360225200653076
GradientBoostingClassifier,0.7897357940673828,2.541776418685913
GradientBoostingClassifier,0.8448867797851562,3.6732866764068604
XGBClassifier,0.8754472732543945,2.9656896591186523
GradientBoostingClassifier,0.9017200469970703,2.6356914043426514
GradientBoostingClassifier,0.7899570465087891,2.773277759552002
GradientBoostingClassifier,0.8444442749023438,2.4509217739105225
XGBClassifier,0.8757104873657227,1.7488517761230469
GradientBoostingClassifier,0.9014244079589844,2.830731153488159
GradientBoostingClassifier,0.7196578979492188,4.8003199100494385
GradientBoostingClassifier,0.8029003143310547,4.3308210372924805
NeuralNetwork,2.903118133544922,3.1576666831970215
GradientBoostingClassifier,0.7851724624633789,4.541034936904907
GradientBoostingClassifier,0.8669576644897461,4.3493194580078125
GradientBoostingClassifier,0.876861572265625,4.527590990066528
GradientBoostingClassifier,0.8401632308959961,6.24078893661499
GradientBoostingClassifier,0.8871145248413086,5.902743101119995
GradientBoostingClassifier,0.8198299407958984,4.658535480499268
GradientBoostingClassifier,0.8987312316894531,4.287458658218384
XGBClassifier,0.8006629943847656,2.874095916748047
RandomForestClassifier,2.006556510925293,33.64353370666504
GradientBoostingClassifier,0.7211751937866211,4.63265061378479
RandomForestClassifier,2.069096565246582,33.58195161819458
GradientBoostingClassifier,1.1357641220092773,7.679982662200928
GradientBoostingClassifier,1.1452178955078125,6.511610507965088
GradientBoostingClassifier,1.2271652221679688,4.838273048400879
RandomForestClassifier,2.2683210372924805,33.76015496253967
GradientBoostingClassifier,1.2496204376220703,4.8783745765686035
GradientBoostingClassifier,1.3310184478759766,5.596113681793213
GradientBoostingClassifier,1.3462772369384766,4.623489856719971
GradientBoostingClassifier,1.3108015060424805,5.73110294342041
GradientBoostingClassifier,1.3579740524291992,5.23206639289856
GradientBoostingClassifier,1.2907447814941406,5.195245742797852
GradientBoostingClassifier,0.7199077606201172,4.556004524230957
GradientBoostingClassifier,0.8036746978759766,5.394764423370361
RandomForestClassifier,2.0432443618774414,33.12361240386963
XGBClassifier,1.0894966125488281,3.4634621143341064
GradientBoostingClassifier,1.155949592590332,5.147110462188721
GradientBoostingClassifier,1.235062599182129,6.3038489818573
XGBClassifier,1.1377878189086914,4.155993938446045
XGBClassifier,1.2193670272827148,4.008134365081787
XGBClassifier,1.2213201522827148,4.98763108253479
XGBClassifier,1.206009864807129,3.868335723876953
XGBClassifier,1.2315025329589844,4.5904624462127686
GradientBoostingClassifier,1.1902790069580078,5.568871974945068
LogisticRegression,0.5307893753051758,0.39530515670776367
GradientBoostingClassifier,0.5869169235229492,0.953681230545044
NeuralNetwork,2.695284843444824,0.719620943069458
LogisticRegression,0.5297975540161133,0.39703941345214844
GradientBoostingClassifier,0.5864782333374023,1.0405933856964111
LogisticRegression,0.6220321655273438,0.380023717880249
LogisticRegression,0.5309038162231445,0.40572237968444824
LogisticRegression,0.5885896682739258,0.3736276626586914
NeuralNetwork,2.6952333450317383,0.769284725189209
GradientBoostingClassifier,0.7904796600341797,2.5571017265319824
GradientBoostingClassifier,0.8454952239990234,2.399885416030884
XGBClassifier,0.8759889602661133,1.5022294521331787
GradientBoostingClassifier,0.9017162322998047,2.3931643962860107
GradientBoostingClassifier,0.7896461486816406,2.573523998260498
GradientBoostingClassifier,0.8446083068847656,2.4091506004333496
XGBClassifier,0.8749551773071289,3.244743585586548
GradientBoostingClassifier,0.9005489349365234,2.5888688564300537
GradientBoostingClassifier,0.7898159027099609,6.15418004989624
GradientBoostingClassifier,0.8449440002441406,2.716524124145508
XGBClassifier,0.8745241165161133,1.4723749160766602
GradientBoostingClassifier,0.9007148742675781,2.8921165466308594
GradientBoostingClassifier,0.7200613021850586,7.7317070960998535
GradientBoostingClassifier,0.803196907043457,4.579427480697632
NeuralNetwork,2.899874687194824,3.328396797180176
GradientBoostingClassifier,0.7825927734375,6.0696470737457275
GradientBoostingClassifier,0.8638801574707031,4.4288294315338135
GradientBoostingClassifier,0.873784065246582,4.598077774047852
GradientBoostingClassifier,0.8371410369873047,7.475564479827881
GradientBoostingClassifier,0.8843135833740234,5.823675632476807
GradientBoostingClassifier,0.8169183731079102,7.541276454925537
GradientBoostingClassifier,0.8960962295532227,7.301288843154907
XGBClassifier,0.7980184555053711,4.94680118560791
RandomForestClassifier,2.0578746795654297,34.76305937767029
GradientBoostingClassifier,0.7207622528076172,4.78518009185791
RandomForestClassifier,2.032599449157715,33.887890338897705
GradientBoostingClassifier,1.1367387771606445,6.306141138076782
GradientBoostingClassifier,1.1460227966308594,4.7981061935424805
GradientBoostingClassifier,1.2274208068847656,4.888498306274414
RandomForestClassifier,2.2610654830932617,34.12679743766785
GradientBoostingClassifier,1.2508630752563477,4.862972021102905
GradientBoostingClassifier,1.3324499130249023,4.540337324142456
GradientBoostingClassifier,1.3479032516479492,4.932764530181885
GradientBoostingClassifier,1.3123722076416016,4.718141078948975
GradientBoostingClassifier,1.3596553802490234,5.686567306518555
GradientBoostingClassifier,1.2922048568725586,5.178647518157959
GradientBoostingClassifier,0.72015380859375,6.604130983352661
GradientBoostingClassifier,0.804473876953125,6.770037651062012
RandomForestClassifier,2.0756826400756836,33.81981587409973
XGBClassifier,1.0806446075439453,3.282949447631836
GradientBoostingClassifier,1.1468219757080078,5.2022435665130615
GradientBoostingClassifier,1.2257022857666016,5.037161350250244
