Dataset,PDP_Peak_Memory_MB,SPDP_Peak_Memory_MB
Robot,102.04597473144531,201.37150478363037
Robot,114.70815563201904,201.03787517547607
Robot,117.52474212646484,201.11562538146973
Robot,123.75893211364746,201.0712070465088
Robot,148.68881797790527,202.33536338806152
Robot,133.53138256072998,201.08275890350342
Robot,158.39799976348877,203.45068836212158
Robot,177.24077701568604,201.0536527633667
Robot,161.6310911178589,203.81366539001465
Robot,172.46979331970215,205.16935348510742
Robot,193.04339981079102,201.08151721954346
Robot,185.58901405334473,224.57991409301758
Robot,161.7962408065796,226.23895454406738
Robot,161.5065507888794,233.5777463912964
Robot,182.22525024414062,250.0105562210083
Robot,257.9902763366699,204.88899326324463
Robot,224.11020469665527,266.34399795532227
Robot,172.7813844680786,267.17810916900635
Robot,270.87292194366455,305.21518993377686
Robot,170.70945930480957,282.34467220306396
RobotDouble,182.8942050933838,394.7447786331177
RobotDouble,215.73723983764648,393.2776069641113
RobotDouble,214.83427810668945,394.5894937515259
RobotDouble,233.2373867034912,395.7818374633789
RobotDouble,253.01608753204346,393.44035243988037
RobotDouble,289.7101459503174,395.55797576904297
RobotDouble,316.36768436431885,395.5524425506592
RobotDouble,289.597918510437,398.8324384689331
RobotDouble,352.6170244216919,393.3816623687744
RobotDouble,336.36517429351807,400.16345977783203
RobotDouble,338.0955743789673,410.74045181274414
RobotDouble,399.11548614501953,433.1584243774414
RobotDouble,401.39288997650146,434.70691108703613
RobotDouble,440.72754192352295,456.10669136047363
RobotDouble,500.33492279052734,432.5311517715454
RobotDouble,492.2874355316162,512.5557870864868
RobotDouble,414.4570369720459,519.2630281448364
RobotDouble,370.5849885940552,526.012565612793
RobotDouble,523.4035348892212,579.5536489486694
RobotDouble,328.92985248565674,541.9940557479858
UAV,60.844035148620605,121.01308345794678
UAV,66.79374313354492,120.82398509979248
UAV,75.93859672546387,120.86425971984863
UAV,84.98222923278809,122.02920055389404
UAV,99.90893268585205,120.78253650665283
UAV,99.8089075088501,122.27616024017334
UAV,107.3248815536499,121.96473598480225
UAV,115.53206729888916,122.16053295135498
UAV,128.53129959106445,120.76567649841309
UAV,142.2766237258911,134.0033884048462
UAV,137.94853687286377,134.44464588165283
UAV,145.59409713745117,150.9081325531006
UAV,156.9029083251953,158.5103874206543
UAV,170.28676891326904,161.8740472793579
UAV,187.36153507232666,167.38710117340088
UAV,176.15836811065674,170.73482608795166
UAV,213.62215423583984,191.36958980560303
UAV,194.351900100708,156.65010833740234
UAV,207.64256381988525,190.20865440368652
UAV,232.6103162765503,179.04670810699463
UAVDouble,123.56684684753418,240.9824457168579
UAVDouble,148.24686908721924,239.7079620361328
UAVDouble,165.83270645141602,240.9622278213501
UAVDouble,182.70338344573975,241.91063785552979
UAVDouble,185.89611339569092,240.94078922271729
UAVDouble,217.29743766784668,240.63385105133057
UAVDouble,221.01208305358887,244.09783458709717
UAVDouble,250.79661464691162,240.4821252822876
UAVDouble,264.5599765777588,265.8970642089844
UAVDouble,288.1899585723877,239.29256057739258
UAVDouble,255.76550769805908,293.9111270904541
UAVDouble,277.01100635528564,308.68690490722656
UAVDouble,285.8736057281494,341.6970682144165
UAVDouble,354.4539222717285,245.22379207611084
UAVDouble,338.91801357269287,307.86262702941895
UAVDouble,361.6751356124878,292.024356842041
UAVDouble,374.5092611312866,406.61386585235596
UAVDouble,370.25262546539307,370.9230556488037
UAVDouble,361.92,412.83
UAVDouble,362.1839876174927,439.11594104766846
Drive,41.56275177001953,57.11249351501465
Drive,38.1875638961792,56.84591865539551
Drive,40.93733024597168,56.91626167297363
Drive,38.23245429992676,56.91239929199219
Drive,38.22843551635742,56.9137487411499
Drive,47.924851417541504,56.95482349395752
Drive,38.221198081970215,56.90941905975342
Drive,38.18472957611084,56.91043186187744
Drive,53.90572643280029,65.63204288482666
Drive,38.18464279174805,56.893399238586426
Drive,40.90964317321777,56.971076011657715
Drive,53.936248779296875,59.95377731323242
Drive,38.22202110290527,72.65148544311523
Drive,53.89981555938721,66.24722576141357
Drive,45.87061405181885,56.934410095214844
Drive,38.217267990112305,72.6488618850708
Drive,53.938114166259766,88.35754108428955
Drive,53.89255714416504,70.15722179412842
Drive,53.86974811553955,65.67159366607666
Drive,53.83705997467041,61.8677453994751
DriveDouble,58.76733684539795,105.14299011230469
DriveDouble,58.56541919708252,104.92996978759766
DriveDouble,61.29983329772949,104.95097923278809
DriveDouble,74.32634735107422,104.92997074127197
DriveDouble,66.25750350952148,106.1822452545166
DriveDouble,74.31584072113037,106.21251678466797
DriveDouble,83.41942024230957,104.99429416656494
DriveDouble,90.08182907104492,106.0982608795166
DriveDouble,89.96508312225342,105.50501251220703
DriveDouble,80.7606143951416,104.92513084411621
DriveDouble,86.43671035766602,121.80349063873291
DriveDouble,105.86192798614502,109.75446605682373
DriveDouble,90.0838212966919,124.47107887268066
DriveDouble,74.2778148651123,137.62302780151367
DriveDouble,105.74842643737793,140.12992191314697
DriveDouble,84.13184261322021,121.94680881500244
DriveDouble,90.00197410583496,132.30871200561523
DriveDouble,105.65524101257324,139.9928274154663
DriveDouble,102.51210975646973,106.24852466583252
DriveDouble,77.01199913024902,121.94095802307129
