cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
47.9897,47.57294848484848,30.036900000000003,34.0946,61.0,59.4238,36.5804,43.2471,1.0,True,True,True,True
7.0223,47.6171808080808,37.74533737373737,24.275359595959596,67.0,23.949,25.0238,53.6776,1.0,True,True,True,True
11.1078,82.7941101010101,87.90614545454545,38.359450505050496,65.0,87.5775,98.0319,60.0834,0.0,False,True,False,False
2.0033000000000003,98.93565353535354,95.95639797979798,83.77990505050505,65.0,13.5431,46.469,6.9455,0.0,True,True,False,False
38.3548,37.39601919191919,93.93629696969695,76.714501010101,33.0,91.9392,78.1618,52.4151,0.0,False,True,True,False
10.0983,54.54640909090909,95.95639797979798,82.77056161616161,50.0,78.7386,92.5354,96.4319,0.0,False,True,True,False
2.0223,79.7675707070707,68.68503434343434,82.77056161616161,8.0,37.4304,11.9677,23.3809,0.0,True,True,True,False
7.069800000000001,37.40486565656565,80.83579191919192,34.359450505050496,58.0,55.9296,77.3951,73.4457,1.0,True,True,True,True
23.2218,65.66141313131313,95.95639797979798,89.83596565656565,79.0,78.6461,46.5971,37.491,0.0,True,True,True,True
2.0223,98.93565353535354,74.74533737373737,92.88268282828282,100.0,61.8901,33.7806,13.9916,0.0,False,True,True,True
5.050800000000001,79.7675707070707,95.95639797979798,96.90136969696968,6.0,38.2341,60.9858,26.0793,0.0,False,True,True,False
16.1268,62.62602727272726,74.74533737373737,92.86399595959595,36.0,13.0175,6.4716,51.7144,0.0,False,True,True,False
7.0223,47.51986969696969,55.77548888888889,26.275359595959596,71.0,17.7223,43.7174,75.8446,1.0,True,True,True,True
11.0698,37.58179494949494,46.74533737373737,24.30338989898989,75.0,45.8191,57.4668,65.4021,1.0,True,True,True,True
21.2028,60.59948787878788,87.90614545454545,36.340763636363626,17.0,94.4083,90.4286,99.624,1.0,False,False,True,False
38.0698,35.62602727272726,64.8156909090909,92.8733393939394,37.0,27.1257,36.0826,20.9859,1.0,True,True,True,True
24.2218,88.85603535353535,96.9966,88.82662222222221,0.0,16.8725,6.1527,90.9567,0.0,False,False,False,False
42.3548,30.396019191919187,81.87599393939394,19.29404646464646,24.0,78.9343,8.8686,62.7014,1.0,True,True,True,True
5.050800000000001,99.9445,95.95639797979798,92.89202626262626,7.0,25.9059,30.3697,1.9672,0.0,True,False,False,False
