cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
52.3548,47.6171808080808,93.93629696969695,34.64909696969697,61.0,59.4238,36.5804,43.2471,1.0,True,True,True,True
46.0223,47.6171808080808,74.74533737373737,27.275359595959596,67.0,23.949,25.0238,53.6776,1.0,True,True,True,True
7.069800000000001,95.90911414141414,86.86594343434344,38.359450505050496,65.0,87.5775,98.0319,60.0834,0.0,False,True,False,False
2.0033000000000003,98.93565353535354,95.95639797979798,83.77990505050505,65.0,13.5431,46.469,6.9455,0.0,True,True,False,False
38.3548,37.39601919191919,93.93629696969695,76.714501010101,33.0,91.9392,78.1618,52.4151,0.0,False,True,False,False
5.050800000000001,90.8648818181818,95.95639797979798,40.37813737373737,50.0,78.7386,92.5354,96.4319,0.0,False,True,False,False
5.050800000000001,67.66141313131313,68.68503434343434,82.77056161616161,8.0,37.4304,11.9677,23.3809,0.0,True,True,False,False
19.1743,88.86488181818181,93.93629696969695,78.73318787878787,58.0,55.9296,77.3951,73.4457,1.0,True,True,True,True
23.2218,65.66141313131313,95.95639797979798,89.83596565656565,79.0,78.6461,46.5971,37.491,0.0,True,True,True,False
2.0223,98.93565353535354,74.74533737373737,92.88268282828282,100.0,61.8901,33.7806,13.9916,0.0,False,True,True,True
5.050800000000001,0.0,94.94634747474748,24.22864242424242,6.0,38.2341,60.9858,26.0793,0.0,False,False,True,False
16.1268,62.62602727272726,74.74533737373737,92.86399595959595,36.0,13.0175,6.4716,51.7144,0.0,False,True,False,False
48.0223,47.58179494949494,73.83579191919192,34.32207676767676,71.0,17.7223,43.7174,75.8446,1.0,True,True,True,True
55.0698,47.58179494949494,73.74533737373737,32.30338989898989,75.0,45.8191,57.4668,65.4021,1.0,True,True,True,True
81.7728,88.8471888888889,93.93629696969695,38.359450505050496,17.0,94.4083,90.4286,99.624,1.0,False,False,True,False
32.0698,47.62602727272726,73.8156909090909,92.8733393939394,37.0,27.1257,36.0826,20.9859,1.0,True,True,True,True
24.2218,88.85603535353535,96.9966,88.82662222222221,0.0,16.8725,6.1527,90.9567,0.0,False,False,False,True
52.307300000000005,28.449097979797976,73.90614545454545,24.312733333333327,24.0,78.9343,8.8686,62.7014,1.0,True,True,True,True
9.0888,37.413712121212114,85.86594343434344,93.8733393939394,7.0,25.9059,30.3697,1.9672,0.0,False,False,False,False
48.0223,47.608334343434336,37.45387272727273,92.8733393939394,92.0,58.9648,26.58,71.1283,1.0,True,True,True,True
5.050800000000001,65.6437202020202,41.41367070707072,82.77056161616161,56.0,16.9334,8.6415,63.9746,0.0,False,True,True,False
73.6968,37.40486565656565,83.83579191919192,89.83596565656565,22.0,93.9653,41.792,44.4401,1.0,False,True,True,False
5.050800000000001,99.9445,95.95639797979798,83.77990505050505,94.0,85.5412,73.2182,68.4091,0.0,False,True,True,False
13.1078,99.9445,93.93629696969695,84.7985919191919,3.0,33.6585,75.1254,31.1717,0.0,False,True,False,False
2.0033000000000003,60.62602727272726,84.90614545454545,92.86399595959595,26.0,21.6758,62.9648,69.5869,1.0,True,True,True,True
5.050800000000001,98.93565353535354,95.95639797979798,83.77990505050505,50.0,32.119,50.1591,94.1508,0.0,False,True,True,True
46.0223,47.661413131313125,45.65488282828282,96.90136969696968,90.0,5.8182,17.9215,25.1484,1.0,True,True,True,True
7.069800000000001,63.643720202020205,85.85589292929293,81.77056161616161,5.0,47.047,25.3211,81.166,1.0,True,True,True,True
5.050800000000001,98.9445,93.95639797979798,83.77990505050505,11.0,74.8916,69.0168,45.9598,1.0,True,True,True,True
2.0223,98.93565353535354,65.65488282828282,96.90136969696968,57.0,88.3406,6.6329,83.8531,1.0,False,True,True,True
52.28830000000001,47.588,38.19029999999999,34.4349,77.0,20.2894,66.1089,48.5194,1.0,True,True,True,True
24.2668,35.4222,48.2303,74.4154,84.0,46.3669,39.3889,89.1915,0.0,False,True,False,False
24.2313,0.0,93.95639797979798,40.3874808080808,23.0,6.7965,79.6813,86.9443,1.0,False,False,False,False
5.050800000000001,98.9445,93.95639797979798,82.77056161616161,0.0,42.4944,55.3772,6.4063,1.0,False,False,False,True
5.050800000000001,91.2177,73.9296,59.9861,48.0,71.958,71.4357,84.1356,0.0,False,True,True,False
42.4023,98.93565353535354,95.95639797979798,82.77056161616161,45.0,32.8703,66.0056,48.1016,0.0,True,True,True,True
52.7468,89.4844,37.5635,26.6232,63.0,6.2509,67.3528,70.3604,1.0,True,True,True,True
51.48780000000001,62.6171808080808,83.85589292929293,93.8733393939394,60.0,34.5556,60.9073,25.6942,1.0,True,True,True,True
2.0223,98.9445,84.84584242424242,93.88268282828282,3.0,84.8966,1.4904,45.2375,1.0,False,True,False,False
14.1268,63.62602727272726,74.74533737373737,92.86399595959595,15.0,18.3902,5.7327,34.835,0.0,False,True,True,False
13.0223,47.54640909090909,28.32321616161617,92.86399595959595,58.0,27.8494,57.5182,12.2561,1.0,True,True,True,True
2.0223,98.93565353535354,95.95639797979798,83.77990505050505,67.0,39.1767,60.1401,23.4804,0.0,True,True,False,True
7.069800000000001,59.59064141414141,55.55437777777778,87.82662222222221,9.0,2.6957,81.0915,2.5583,1.0,True,False,False,False
2.0223,99.9445,44.44382222222223,82.77056161616161,14.0,69.8507,3.9215,70.0643,0.0,False,True,True,False
5.050800000000001,98.93565353535354,95.95639797979798,88.82662222222221,71.0,14.4564,70.9392,22.3957,0.0,False,True,True,True
2.0223,98.93565353535354,93.93629696969695,96.90136969696968,69.0,21.4027,61.6514,19.6983,0.0,True,True,True,False
58.0793,80.90911414141414,73.87599393939394,32.359450505050496,80.0,55.7899,80.7241,47.2629,1.0,True,True,True,True
32.0223,47.58179494949494,67.87599393939394,49.471571717171706,59.0,4.4086,17.6542,75.5936,1.0,True,True,True,True
2.0223,99.9445,41.41367070707072,83.77990505050505,3.0,14.4929,77.5235,8.6305,0.0,False,True,False,False
2.0223,98.93565353535354,95.95639797979798,92.8733393939394,97.0,21.6285,23.918,0.4307,0.0,True,False,False,False
8.0793,54.55525555555555,93.95639797979798,93.88268282828282,76.0,70.2648,99.4058,44.3483,1.0,True,True,False,False
18.1743,98.93565353535354,73.73528686868687,83.77990505050505,59.0,56.9623,64.9574,18.8027,0.0,True,True,True,True
58.0223,47.564102020202014,38.3835191919192,92.8733393939394,75.0,70.5522,10.6259,21.817,1.0,True,True,True,True
5.050800000000001,60.59948787878788,93.95639797979798,89.83596565656565,65.0,49.4864,97.5968,18.5283,1.0,True,True,False,False
7.069800000000001,61.608334343434336,93.93629696969695,87.81727878787878,25.0,10.1328,51.481,3.0304,0.0,True,False,False,False
31.0223,93.93565353535354,93.93629696969695,92.8733393939394,86.0,72.9089,49.8484,13.6755,1.0,True,True,True,True
7.069800000000001,78.75872424242424,93.93629696969695,96.90136969696968,6.0,29.1259,59.9499,10.0156,1.0,True,True,True,False
2.0223,98.93565353535354,93.94634747474748,45.42485454545454,68.0,93.6812,98.5286,84.3358,1.0,False,True,False,False
58.183800000000005,88.93565353535354,73.92624646464647,85.83596565656565,90.0,9.2782,32.6567,45.429,1.0,True,True,True,True
52.3548,47.6171808080808,93.93629696969695,65.64909696969697,20.0,63.9709,9.3201,38.8393,1.0,True,True,True,True
10.0983,98.93565353535354,95.95639797979798,83.77990505050505,58.0,28.8118,58.2564,70.2219,0.0,True,True,True,True
2.0223,67.66141313131313,74.75538787878787,93.8733393939394,64.0,36.5457,2.7113,29.0065,1.0,False,True,True,True
2.0223,47.59064141414141,93.93629696969695,20.191268686868685,38.0,22.9591,11.3488,69.0327,1.0,True,True,True,True
2.0223,99.9445,95.95639797979798,82.77056161616161,18.0,90.7458,43.343,18.4807,0.0,True,True,True,False
7.069800000000001,40.42255858585858,47.51417575757576,93.8733393939394,69.0,41.3394,2.3457,19.9222,1.0,False,True,True,True
52.2978,54.9013,96.7187,41.7556,17.0,50.0969,89.3203,87.4675,1.0,True,True,True,True
2.0223,65.66141313131313,73.73528686868687,89.84530909090908,67.0,81.5573,20.8278,26.4285,0.0,True,True,False,False
23.2218,40.42255858585858,93.93629696969695,93.8733393939394,59.0,6.2535,2.8273,33.9461,1.0,False,True,True,True
10.0983,99.9445,95.95639797979798,93.88268282828282,57.0,90.5804,51.7817,99.4677,0.0,False,False,True,False
7.069800000000001,74.4568,69.0441,81.2142,45.0,79.206,62.9788,28.6124,0.0,False,True,True,False
24.2313,88.8471888888889,93.94634747474748,76.72384444444444,0.0,67.0511,84.8051,71.7098,1.0,False,False,True,True
2.0223,98.93565353535354,93.94634747474748,96.90136969696968,6.0,0.2893,47.6274,12.9038,1.0,True,True,True,False
5.050800000000001,88.87372828282828,93.95639797979798,89.83596565656565,99.0,63.6087,53.9433,19.4443,1.0,True,True,True,True
12.1173,98.9445,93.95639797979798,92.88268282828282,74.0,87.9683,99.2128,73.2989,1.0,True,True,False,False
30.288300000000003,37.40486565656565,83.85589292929293,89.83596565656565,24.0,80.0143,55.2203,62.2908,1.0,True,True,True,True
2.0223,98.93565353535354,95.95639797979798,77.73318787878787,69.0,58.5958,34.886,55.8218,0.0,True,True,True,True
58.0698,47.59064141414141,73.8056404040404,74.83596565656565,90.0,82.1329,81.8836,28.5631,1.0,True,True,True,True
24.2313,80.78526363636364,73.73528686868687,89.83596565656565,9.0,70.8774,67.1391,37.9374,1.0,True,True,True,False
5.050800000000001,99.9445,95.95639797979798,77.72384444444444,52.0,82.3474,62.4725,8.3297,0.0,False,True,False,False
24.2313,88.86488181818181,93.93629696969695,92.8733393939394,10.0,82.0132,38.8586,29.8051,1.0,True,True,True,True
5.050800000000001,45.4667909090909,93.94634747474748,92.86399595959595,88.0,54.8726,26.3794,75.6592,1.0,True,True,True,True
7.069800000000001,62.6171808080808,55.55437777777778,86.80793535353534,44.0,32.9259,61.4991,22.6494,0.0,True,True,False,False
2.0223,99.9445,87.88604444444445,93.8733393939394,78.0,86.4901,55.3164,29.481,0.0,False,True,True,True
5.050800000000001,98.93565353535354,93.93629696969695,86.80793535353534,8.0,60.2822,96.9687,10.6261,1.0,True,True,False,False
63.0508,28.59064141414141,82.86594343434344,86.83596565656565,39.0,50.9922,24.6316,37.1625,1.0,True,True,True,True
2.0223,67.66141313131313,93.95639797979798,89.83596565656565,57.0,34.1341,5.1144,0.477,1.0,True,False,False,False
10.0983,98.9445,95.95639797979798,92.88268282828282,91.0,66.0004,69.5473,80.022,0.0,True,True,True,True
9.0888,78.75872424242424,41.41367070707072,89.83596565656565,73.0,66.8505,66.3878,46.212,0.0,True,True,False,True
14.1173,57.57294848484848,95.95639797979798,93.88268282828282,18.0,77.599,83.5544,41.7734,0.0,True,True,True,False
23.2218,99.9445,95.95639797979798,88.83596565656565,24.0,86.0828,86.1665,56.4478,0.0,False,True,False,False
5.050800000000001,99.9445,95.95639797979798,86.80793535353534,4.0,85.53,59.067,21.0966,0.0,False,True,False,False
8.0793,88.8471888888889,93.93629696969695,89.84530909090908,89.0,14.7707,22.6643,10.6521,0.0,True,True,True,True
31.288300000000003,58.59948787878788,74.74533737373737,28.26601616161616,22.0,55.0907,77.4095,91.1729,1.0,True,True,True,True
38.3548,38.413712121212114,44.44382222222223,93.8733393939394,37.0,97.471,3.656,37.2284,0.0,False,True,False,False
23.2218,79.77641717171717,95.95639797979798,88.82662222222221,55.0,49.3654,73.3838,64.7333,0.0,True,True,False,True
2.0223,98.9445,91.91619595959595,91.85465252525252,59.0,78.076,47.9068,3.492,1.0,True,False,False,True
53.0698,47.57294848484848,69.73528686868687,92.8733393939394,85.0,4.1048,67.1527,69.0397,1.0,True,True,True,True
5.050800000000001,84.8471888888889,91.91619595959595,96.90136969696968,30.0,4.1706,8.8092,98.9708,1.0,False,False,True,True
2.0223,98.9445,95.95639797979798,83.77990505050505,37.0,27.856,49.3046,11.608,0.0,True,True,True,False
2.0223,63.62602727272726,93.94634747474748,96.90136969696968,4.0,10.915,56.7768,53.82,1.0,False,True,True,False
9.0888,61.608334343434336,84.90614545454545,36.340763636363626,25.0,75.803,52.6981,87.4851,1.0,True,True,True,True
53.0223,47.59064141414141,57.69508484848485,85.87333939393939,83.0,47.3117,16.9332,58.7357,1.0,True,True,True,True
5.050800000000001,98.9445,74.78553939393939,89.83596565656565,21.0,26.7699,47.5444,8.5548,0.0,True,True,True,True
2.0223,63.62602727272726,93.94634747474748,96.90136969696968,4.0,8.9135,87.1087,62.3641,1.0,False,True,False,False
2.0223,81.0871,74.6813,43.1656,93.0,7.4544,19.988,73.5225,1.0,True,True,True,True
7.069800000000001,88.8471888888889,96.96644848484848,76.714501010101,99.0,82.1447,38.6245,11.0783,1.0,True,True,True,True
24.2313,90.87372828282828,93.93629696969695,74.69581414141413,1.0,28.7361,50.1441,90.9288,0.0,False,False,False,False
32.231300000000005,47.6524,53.6146,26.0093,59.0,45.1268,56.0849,35.5262,1.0,True,True,True,True
23.2218,63.62602727272726,73.74533737373737,86.80793535353534,8.0,28.6421,3.3222,18.5368,0.0,False,True,False,False
7.069800000000001,79.77641717171717,93.93629696969695,87.81727878787878,4.0,36.3528,74.2835,22.7596,0.0,False,True,False,False
23.2218,63.62602727272726,93.93629696969695,93.8733393939394,11.0,5.824,21.5316,44.4932,1.0,True,True,True,True
