,custom_adaptation,custom_confidence,custom_score,custom_time
12,"[1.0000000e+00 5.0182000e+00 0.0000000e+00 2.0000000e+00 1.0000000e+01
 2.0698273e+04 9.7000000e+01]","[0.42010637 0.74426244 0.95       0.29268146 0.79197909 0.87130891
 0.29268146 0.38670805 0.38670805 0.38670805 0.39415273 0.04387838]",293.9818,0.08275771141052246
13,"[0.0000000e+00 5.0182000e+00 0.0000000e+00 4.0000000e+00 1.0000000e+01
 2.0698273e+04 7.9000000e+01]","[0.15495471 0.61290763 0.99       0.00733746 0.51991548 0.65681579
 0.00733746 0.38424778 0.38424778 0.38424778 0.27832142 0.02395613]",290.9818,0.11328458786010742
14,"[1.00000000e+00 5.01820000e+00 0.00000000e+00 4.00000000e+00
 1.50000000e+01 5.34603789e+03 3.40000000e+01]","[0.84626451 0.13597587 0.95       0.0017238  0.13574389 0.13011817
 0.0017238  0.00447583 0.00447583 0.00447583 0.11204123 0.79743218]",291.9818,0.06475067138671875
15,"[0.00000000e+00 4.77086323e+01 0.00000000e+00 2.00000000e+00
 2.30000000e+01 2.06982730e+04 9.80000000e+01]","[0.3130404  0.77157653 1.         0.2694836  0.82020574 0.27571372
 0.2694836  0.61591083 0.61591083 0.61591083 0.69212985 0.4696119 ]",250.29136767676766,0.1016230583190918
16,"[1.00000000e+00 2.63634162e+01 0.00000000e+00 4.00000000e+00
 1.50000000e+01 2.59050851e+03 5.00000000e+00]","[0.13120946 0.05158729 0.98       0.00205092 0.07333414 0.05003677
 0.00205092 0.46185279 0.46185279 0.46185279 0.39427099 0.0107584 ]",270.63658383838384,0.08456039428710938
17,"[1.00000000e+00 5.01820000e+00 0.00000000e+00 2.00000000e+00
 1.50000000e+01 2.59050851e+03 1.30000000e+01]","[0.76283554 0.13284312 0.98       0.00113272 0.09735556 0.10784511
 0.00113272 0.01340046 0.01340046 0.01340046 0.0459551  0.86692484]",293.9818,0.06058025360107422
18,"[1.000000e+00 5.018200e+00 0.000000e+00 4.000000e+00 1.000000e+01
 2.109192e+04 8.600000e+01]","[0.32754445 0.72283292 0.99       0.56544983 0.69948425 0.65681579
 0.56544983 0.83909446 0.83909446 0.83909446 0.78616995 0.04387838]",291.9818,0.06331706047058105
19,"[1.0000000e+00 5.0182000e+00 0.0000000e+00 4.0000000e+00 1.0000000e+01
 2.0698273e+04 7.9000000e+01]","[0.32963035 0.61712785 0.99       0.00950923 0.51991548 0.65681579
 0.00950923 0.45721662 0.45721662 0.45721662 0.24487713 0.04233805]",291.9818,0.09790945053100586
20,"[1.00000000e+00 5.01820000e+00 0.00000000e+00 2.00000000e+00
 1.50000000e+01 2.59050851e+03 4.00000000e+00]","[0.84206158 0.14903387 0.98       0.00113272 0.13917789 0.07839076
 0.00113272 0.01340046 0.01340046 0.01340046 0.0459551  0.81056689]",293.9818,0.07629251480102539
21,"[1.00000000e+00 5.01820000e+00 0.00000000e+00 4.00000000e+00
 1.50000000e+01 5.34603789e+03 5.10000000e+01]","[0.82781609 0.14249141 0.97       0.0017238  0.15499258 0.12784129
 0.0017238  0.00170086 0.00170086 0.00170086 0.11025799 0.79030245]",291.9818,0.0642094612121582
22,"[1.00000000e+00 2.63634162e+01 0.00000000e+00 2.00000000e+00
 1.50000000e+01 2.59050851e+03 3.00000000e+00]","[0.04006347 0.0636553  0.97       0.00174964 0.09024816 0.08367475
 0.00174964 0.51113951 0.51113951 0.51113951 0.39112544 0.0107584 ]",272.63658383838384,0.07908868789672852
23,"[1.00000000e+00 5.01820000e+00 0.00000000e+00 4.00000000e+00
 1.50000000e+01 5.34603789e+03 4.70000000e+01]","[0.82781609 0.12418392 0.98       0.0017238  0.14150398 0.13929181
 0.0017238  0.00170086 0.00170086 0.00170086 0.24352194 0.79030245]",291.9818,0.06045174598693848
