formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_8
1.0,45.0849,1.0,2.0,0.0,9383.7905,36.0,False
1.0,23.5245,1.0,2.0,1.0,20908.9843,23.0,False
1.0,37.9678,0.0,2.0,6.0,16520.6574,31.0,False
0.0,42.9891,1.0,4.0,4.0,11705.9113,91.0,False
0.0,38.9133,1.0,3.0,18.0,17571.0665,45.0,False
1.0,12.0765,0.0,1.0,8.0,38088.4655,21.0,False
1.0,38.5988,1.0,4.0,17.0,25475.1227,33.0,False
1.0,31.3568,1.0,4.0,0.0,35189.0317,40.0,False
1.0,44.1308,1.0,4.0,11.0,27477.8986,71.0,False
1.0,14.1695,1.0,1.0,21.0,26212.0886,80.0,False
1.0,34.9276,0.0,4.0,20.0,8875.6064,9.0,False
1.0,48.2629,0.0,3.0,0.0,6907.9091,70.0,False
0.0,35.4889,0.0,2.0,15.0,16486.8519,98.0,False
1.0,32.4845,0.0,3.0,12.0,15389.3734,89.0,False
1.0,26.3159,1.0,4.0,13.0,18228.2471,75.0,False
0.0,13.9997,1.0,3.0,14.0,19433.9334,4.0,False
1.0,42.6562,1.0,2.0,20.0,13404.0672,67.0,False
1.0,43.4876,1.0,2.0,9.0,30013.7756,26.0,False
0.0,49.9853,0.0,1.0,1.0,9456.8565,65.0,False
0.0,24.3505,0.0,3.0,22.0,15257.5581,68.0,False
1.0,30.2187,1.0,2.0,4.0,34243.1826,4.0,False
1.0,35.6262,1.0,4.0,3.0,26583.2893,38.0,False
1.0,10.8195,1.0,2.0,5.0,17289.6686,77.0,False
0.0,38.1626,0.0,4.0,6.0,2790.8332,60.0,False
0.0,11.8832,0.0,1.0,9.0,13935.037,7.0,False
0.0,43.8175,0.0,3.0,23.0,28867.5926,22.0,False
1.0,44.0706,0.0,2.0,15.0,4184.3088,79.0,False
0.0,22.4369,1.0,3.0,16.0,32126.5616,67.0,False
1.0,9.3797,1.0,4.0,3.0,9580.0169,42.0,False
1.0,12.5328,0.0,4.0,16.0,15147.0799,27.0,False
0.0,35.7999,1.0,4.0,2.0,38778.6336,82.0,False
0.0,13.1607,0.0,2.0,16.0,28075.655,39.0,False
0.0,33.7038,1.0,1.0,9.0,30920.4926,74.0,False
0.0,23.5901,1.0,1.0,5.0,36360.9609,74.0,False
1.0,26.023,0.0,4.0,3.0,34802.2369,81.0,False
1.0,46.5217,1.0,3.0,1.0,23427.6692,15.0,False
0.0,40.4725,0.0,3.0,19.0,29539.4651,20.0,False
1.0,8.5399,1.0,1.0,8.0,9879.0853,2.0,False
0.0,9.1916,1.0,4.0,9.0,10813.3742,2.0,False
1.0,41.8063,1.0,2.0,20.0,3038.6032,4.0,False
1.0,49.5324,0.0,3.0,6.0,8888.1893,12.0,False
1.0,44.7749,1.0,2.0,16.0,10671.9144,40.0,False
0.0,39.1331,1.0,3.0,22.0,4696.3202,38.0,False
0.0,41.5833,0.0,4.0,1.0,36925.6226,41.0,False
0.0,46.516,1.0,1.0,5.0,8924.1207,89.0,False
0.0,27.73,1.0,2.0,14.0,17942.6296,96.0,False
1.0,10.9754,0.0,2.0,9.0,16933.4201,87.0,False
0.0,41.5778,1.0,2.0,18.0,17231.5794,4.0,False
0.0,30.4297,1.0,3.0,3.0,2652.3312,32.0,False
0.0,37.2089,0.0,3.0,6.0,23248.0739,76.0,False
0.0,35.3031,0.0,4.0,0.0,3682.4517,6.0,False
0.0,20.6246,1.0,1.0,10.0,34517.4807,75.0,False
1.0,42.8402,1.0,3.0,5.0,9378.0307,73.0,False
0.0,29.3202,1.0,3.0,1.0,9521.7569,79.0,False
0.0,18.758,0.0,2.0,18.0,34560.666,86.0,False
1.0,22.5367,0.0,2.0,9.0,18750.7529,3.0,False
1.0,42.3058,1.0,1.0,7.0,24523.4478,15.0,False
1.0,22.9063,1.0,1.0,18.0,29587.4523,78.0,False
1.0,7.915,1.0,3.0,9.0,4749.941,53.0,False
0.0,27.9101,1.0,1.0,14.0,27393.7877,53.0,False
0.0,10.0916,0.0,1.0,18.0,3035.6425,93.0,False
1.0,31.4971,1.0,4.0,11.0,13671.1522,48.0,False
1.0,16.4705,1.0,2.0,21.0,32907.5579,41.0,False
1.0,32.9418,0.0,2.0,7.0,26166.4878,100.0,False
0.0,12.5058,0.0,2.0,13.0,6068.679,43.0,False
1.0,40.3372,0.0,2.0,18.0,20789.7602,82.0,False
0.0,24.438,0.0,1.0,0.0,38470.5525,85.0,False
1.0,7.8225,0.0,4.0,22.0,29559.8129,11.0,False
1.0,38.6348,1.0,4.0,14.0,34370.4899,7.0,False
1.0,43.0438,1.0,3.0,7.0,37647.457,55.0,False
1.0,38.0518,1.0,3.0,10.0,12578.7883,91.0,False
0.0,19.6665,1.0,4.0,23.0,4062.5242,4.0,False
1.0,23.4894,0.0,3.0,2.0,8673.4669,28.0,False
0.0,33.4033,1.0,3.0,14.0,25807.977,82.0,False
0.0,35.2768,0.0,2.0,21.0,30528.1462,78.0,False
1.0,45.9235,0.0,3.0,16.0,24285.2844,42.0,False
0.0,12.9526,1.0,1.0,14.0,10069.4203,2.0,False
0.0,7.6129,0.0,2.0,2.0,5394.3281,32.0,False
1.0,24.287,0.0,1.0,13.0,5373.7009,28.0,False
0.0,30.4751,1.0,1.0,6.0,9597.9909,37.0,False
