car_speed,p_x,p_y,orientation,weather,road_shape,req_0,req_1,req_2
5.114918409454085,4.7119,4.2436,-26.0,1.0,1.0,True,True,True
10.977293431806247,8.7927,6.1672,1.0,1.0,1.0,False,True,False
5.060309017282178,2.237,0.4689,28.0,2.0,2.0,False,False,False
10.958508777066,8.3117,8.3787,8.0,2.0,1.0,True,False,False
34.38006177368917,6.1614,1.4723,12.0,2.0,1.0,True,True,True
33.94432257008184,0.4669,5.6493,-10.0,1.0,2.0,True,True,True
9.732408190371348,7.0349,8.1232,-25.0,1.0,2.0,False,True,False
45.56888425196641,8.8031,2.8799,-14.0,0.0,2.0,False,False,False
10.986319697232316,3.0849,6.362,-11.0,1.0,1.0,False,True,True
12.268475358658025,1.7379,5.7494,-21.0,2.0,1.0,True,True,True
11.479166100665818,5.6813,5.4029,14.0,0.0,2.0,False,True,True
5.273955607624565,4.7324,2.5909,-12.0,1.0,1.0,True,True,True
11.503405593309608,2.0019,8.2007,19.0,1.0,1.0,False,True,False
34.33206492196083,9.4117,8.2991,4.0,2.0,2.0,False,False,False
33.7717648401307,8.273,9.9694,-5.0,0.0,2.0,False,False,False
10.948668758709614,3.7219,1.7726,1.0,0.0,0.0,True,False,False
5.592925592594066,9.7242,2.1378,8.0,1.0,1.0,True,True,True
11.535896562070844,2.8179,8.5474,23.0,2.0,2.0,False,True,False
38.94256667653006,4.6676,1.2102,26.0,2.0,1.0,False,True,False
9.637910772115218,0.9827,1.1607,-17.0,0.0,0.0,True,True,True
20.232062958792724,1.9547,6.0747,-7.0,2.0,1.0,False,False,False
33.79789867489954,4.3925,7.3224,24.0,1.0,2.0,False,False,False
33.91392203752906,6.1307,8.6475,-2.0,2.0,2.0,False,False,False
5.028221487951358,2.2483,7.7264,-3.0,2.0,1.0,False,True,False
20.438547903645087,4.5808,9.0027,-19.0,2.0,0.0,False,True,False
20.21693032079612,4.0713,1.8712,28.0,2.0,2.0,True,False,False
22.786701423769404,8.8625,9.116,0.0,2.0,0.0,False,True,False
11.553495224483289,4.3945,2.2277,27.0,2.0,0.0,False,False,False
38.23725714088552,3.7271,9.5323,8.0,0.0,2.0,False,False,False
20.03737270705665,1.7138,4.0442,6.0,1.0,1.0,True,False,False
5.077018476073564,6.4143,1.3358,-18.0,1.0,1.0,True,True,True
