cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
0.0245,87.90451818181819,99.9119,99.9394,20.0,6.6486,65.1628,66.9228,1.0,False,False,False,False
1.03349898989899,98.98423535353535,94.86742525252524,99.9394,61.0,40.9182,74.0014,6.9528,0.0,False,False,False,False
0.0245,98.98423535353535,94.86742525252524,99.9394,52.0,73.1564,67.7624,15.0113,0.0,False,False,False,False
0.0245,98.98423535353535,94.86742525252524,99.9394,39.0,18.8794,71.8153,10.7021,0.0,False,False,False,False
0.0245,98.98423535353535,94.86742525252524,93.8826787878788,12.0,38.6586,96.5509,56.2362,0.0,False,False,False,False
0.0245,99.9942,99.9119,99.9394,24.0,91.2625,84.6136,40.9437,1.0,False,False,False,False
1.03349898989899,98.98423535353535,63.79626565656567,99.9394,58.0,10.344,2.5777,82.1542,0.0,False,False,False,False
0.0245,98.98423535353535,94.86742525252524,93.8826787878788,32.0,67.4059,58.6502,49.9053,0.0,False,False,False,False
0.0245,98.9942,94.86742525252524,99.9394,45.0,62.1058,21.7593,10.6248,0.0,False,False,False,False
8.09649191919192,98.98423535353535,99.9119,99.9394,85.0,51.7538,24.092,44.3696,1.0,False,False,False,False
0.0245,98.98423535353535,94.86742525252524,99.9394,1.0,78.4576,22.9664,9.2552,0.0,False,False,False,False
0.0245,96.96430606060608,94.86742525252524,99.9394,2.0,47.4997,39.5959,84.0895,0.0,False,False,False,False
0.0245,98.98423535353535,92.86742525252524,99.9394,32.0,86.7648,24.7583,23.3558,1.0,False,False,False,False
0.0245,99.9942,90.83184545454546,99.9394,28.0,93.6467,99.7559,79.1174,0.0,False,False,False,False
1.03349898989899,98.98423535353535,56.52941717171717,93.8826787878788,78.0,68.5678,16.479,93.1286,0.0,False,False,False,False
0.0245,98.9942,99.9119,99.9394,45.0,82.2747,16.0048,73.738,1.0,True,False,False,False
0.0245,98.98423535353535,87.80516060606061,99.9394,53.0,59.4822,90.537,82.9342,0.0,False,False,False,False
1.03349898989899,98.98423535353535,87.86742525252525,93.8826787878788,74.0,2.1292,32.4704,74.4502,1.0,False,False,False,False
1.03349898989899,98.9942,99.9119,99.9394,93.0,85.9565,25.6339,23.5499,1.0,False,False,False,False
1.0245,98.98423535353535,94.86742525252524,99.9394,62.0,25.7592,45.4759,74.9427,0.0,False,False,False,False
1.03349898989899,98.98423535353535,99.9119,99.9394,88.0,75.5256,16.7215,31.7352,1.0,False,False,False,False
1.03349898989899,98.98423535353535,52.49383737373738,93.8826787878788,91.0,4.9367,97.2327,99.9934,0.0,False,False,False,False
1.0245,98.98423535353535,94.86742525252524,99.9394,62.0,62.4024,59.5036,62.7383,0.0,False,False,False,False
43.41145656565657,98.9942,99.9119,99.9394,95.0,74.0492,40.309,25.9153,1.0,False,False,False,False
1.03349898989899,98.9942,94.86742525252524,99.9394,69.0,74.6696,90.4683,73.8133,0.0,False,False,False,False
8.09649191919192,98.98423535353535,99.9119,99.9394,59.0,52.1599,2.9254,40.4167,1.0,False,False,False,False
1.03349898989899,98.98423535353535,99.9119,99.9394,64.0,44.0877,21.1012,50.1676,0.0,False,False,False,False
