car_speed,p_x,p_y,orientation,weather,road_shape,req_0,req_1,req_2
5.000000000000653,1.742329414465994e-14,4.2436,-26.0,1.0,1.0,True,True,True
5.014915870676513,1.7040167945615111e-09,6.1672,1.0,1.0,1.0,False,False,False
5.014755971839872,3.456469342965813e-11,0.4689,28.0,2.0,2.0,True,True,True
5.014810878388102,6.937949030225904e-08,8.3787,8.0,2.0,1.0,False,True,False
5.014792767659595,2.421764060742662e-09,1.4723,12.0,2.0,1.0,False,False,False
5.000000000003552,2.41652908877766e-13,5.6493,-10.0,1.0,2.0,True,True,True
5.000000000446936,1.3247044087670966e-11,8.1232,-25.0,1.0,2.0,False,True,False
5.0149414862121695,3.026599742816613e-13,2.8799,-14.0,0.0,2.0,False,True,False
5.000000000000868,1.4473258856957382e-13,6.362,-11.0,1.0,1.0,False,True,False
5.000000000000575,7.04115938182829e-14,5.7494,-21.0,2.0,1.0,True,True,True
5.014861364874951,1.2126514208787803e-10,5.4029,14.0,0.0,2.0,True,False,False
5.000000000034446,1.3469591995980561e-12,2.5909,-12.0,1.0,1.0,True,False,False
5.014767659708265,2.6482240000019557e-09,8.2007,19.0,1.0,1.0,False,False,False
5.014764850593095,7.046414403851678e-12,8.2991,4.0,2.0,2.0,False,True,False
5.000000000446918,1.3247044087670966e-11,9.9694,-5.0,0.0,2.0,False,True,False
5.015328180501709,2.3852143086782024e-12,1.7726,1.0,0.0,0.0,True,False,False
5.014792522338245,2.393163759071613e-08,2.1378,8.0,1.0,1.0,True,True,True
5.015188202265298,1.5737825579690985e-12,8.5474,23.0,2.0,2.0,False,True,True
5.014913746028477,2.346164686266369e-10,1.2102,26.0,2.0,1.0,False,False,False
5.000000000000247,9.446278357275635e-15,1.1607,-17.0,0.0,0.0,True,True,True
5.000000000110488,1.1122354926737168e-11,6.0747,-7.0,2.0,1.0,False,False,False
5.014861364874951,1.2153031931315743e-10,7.3224,24.0,1.0,2.0,False,False,False
5.000000000458985,3.472141644192998e-11,8.6475,-2.0,2.0,2.0,False,False,False
5.000000000000021,1.7680303935192264e-16,7.7264,-3.0,2.0,1.0,False,False,False
5.000000000002893,5.805826542041394e-14,9.0027,-19.0,2.0,0.0,False,True,False
5.014862475851634,2.602230656350796e-11,1.8712,28.0,2.0,2.0,True,True,True
5.000000000010199,4.8941215800453765e-14,9.116,0.0,2.0,0.0,False,True,False
5.014949669273818,2.063816444639244e-09,2.2277,27.0,2.0,0.0,True,False,False
5.0149214627719285,2.577859774241297e-07,9.5323,8.0,0.0,2.0,False,False,False
5.014823182560146,7.725643343517749e-08,4.0442,6.0,1.0,1.0,True,True,True
5.000000000000575,7.04115938182829e-14,1.3358,-18.0,1.0,1.0,True,True,True
5.014792767659595,2.421764060742662e-09,1.0321,5.0,2.0,1.0,False,False,False
5.014944179977402,3.232641579807341e-10,8.6115,27.0,2.0,2.0,False,False,False
5.014809707022346,8.773422444134472e-09,1.499,26.0,0.0,0.0,False,True,True
5.0000000000003935,4.522868237603015e-15,0.7777,-24.0,1.0,1.0,True,True,True
5.000000000381386,6.253403718643369e-11,1.9586,-13.0,0.0,1.0,True,True,True
5.000000000001972,7.852609130610482e-12,1.4334,-3.0,2.0,1.0,False,True,False
5.00000000000009,3.187177117264083e-14,5.4336,-29.0,1.0,0.0,True,True,True
5.014873291068457,2.969950430226835e-11,8.4873,13.0,1.0,1.0,True,True,True
