cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
52.4888112517942,69.32760017325619,26.179136487400264,31.672709714792536,28.0,94.0161,80.7624,63.5628,1.0,False,False,False,False
48.80953639248236,75.20120461505897,18.4295960498528,56.59242341034678,6.0,71.8208,75.0593,60.5977,1.0,True,False,False,False
100.0,4.157074593878182e-17,0.0,5.531057508175873e-16,77.0,7.5391,1.6253,80.0753,0.0,False,False,False,True
100.0,8.522079726135586e-17,0.0,0.0,69.0,53.3293,80.054,70.5053,0.0,False,False,False,True
65.36839648479963,23.851990392111787,19.764099758501047,35.077151069793814,99.0,2.4322,12.8356,94.2017,1.0,False,False,False,False
15.071040293002184,91.75019573381763,98.6063185263327,27.853883053230817,45.0,98.6709,3.9151,61.8843,1.0,False,False,False,False
14.183560026447754,97.24153371156264,95.66945906369156,70.23528469467495,50.0,73.3268,98.4476,89.9971,1.0,True,False,False,False
100.0,0.0,0.0,0.0,60.0,5.0044,65.223,37.6768,0.0,False,False,False,False
17.090697853396353,84.59741210745878,34.356286283592894,31.57903536003107,100.0,92.6164,59.3104,6.7457,1.0,False,False,False,False
52.41370680287197,39.72048042292937,27.36157238134833,35.1473613834926,57.0,36.8875,58.619,10.06,1.0,True,False,True,True
65.39059099658901,22.018964567571555,18.752850947631064,23.462601054127077,32.0,47.4298,72.366,51.9463,1.0,True,False,False,False
63.32006945778675,20.82263346812505,20.20288762844977,34.63993700574844,65.0,71.5749,16.7207,90.6924,1.0,False,False,False,False
100.0,0.0,0.0,8.655445580723246e-17,37.0,79.1809,53.0692,31.1356,0.0,False,False,False,True
71.451750852562,23.95129567200784,36.51362562723543,32.28631660116187,57.0,91.1472,30.0571,47.7731,1.0,False,False,False,False
100.0,0.0,0.0,1.1153996993340539e-16,54.0,8.7951,97.14,64.1799,0.0,False,False,True,True
65.8287814722486,21.84639347373071,19.668432176218893,33.53083680260934,79.0,86.3154,36.3292,89.1413,1.0,False,False,False,False
64.73359676130625,23.536960633453017,34.06863253487478,32.57889653252754,63.0,92.8676,18.7256,55.7951,1.0,False,False,False,False
100.0,4.998222352597994e-18,0.0,0.0,86.0,81.9628,80.0029,77.7698,0.0,False,False,False,True
65.12128309862129,21.69095847270676,26.081091748461414,31.98967357683334,68.0,53.6763,79.7056,39.447,1.0,True,False,False,False
100.0,0.0,0.0,0.0,48.0,5.8405,17.4103,42.6772,0.0,False,False,False,False
67.55756279848508,22.91916797955703,38.28297161234089,38.76276970927531,92.0,48.5672,34.9167,13.1011,1.0,True,False,False,False
64.82073080923865,21.688200561456934,22.71280001241621,35.118931001229654,34.0,23.4219,55.6327,75.5008,1.0,True,False,True,False
70.50502210386422,39.55263874073992,36.63612256594239,41.13726911300128,20.0,30.5299,88.347,72.1533,1.0,True,False,False,False
100.0,0.0,0.0,0.0,26.0,25.0392,87.8182,57.3263,0.0,False,False,True,True
100.0,0.0,1.511074982837091e-16,0.0,97.0,20.7041,57.6769,92.789,0.0,False,False,False,False
100.0,0.0,0.0,0.0,16.0,10.2433,71.0307,90.0647,0.0,False,False,False,False
16.856415086991046,73.16207052755881,89.2477144989836,69.16683068854708,98.0,35.0461,95.9395,33.3524,1.0,True,False,False,False
100.0,2.57067362833312e-16,0.0,0.0,91.0,63.5706,20.2699,37.0342,0.0,False,False,False,True
100.0,1.1262921009226255e-16,0.0,0.0,86.0,39.0552,87.3664,91.7777,0.0,False,False,False,False
65.68219495867193,22.02297539077937,22.811373077763147,32.095242051272486,38.0,23.0321,17.0318,57.9137,1.0,True,False,True,False
