formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.9691738013614062,6.980202161170502,0.0675496525588029,1.0,12.0,23709.2926,17.0,False,True,True,False,True,True,False,False,False,False,False,True
0.7387072677305673,5.074563746351864,0.0405229565101798,3.0,14.0,12622.0312,78.0,True,True,True,True,True,True,True,True,True,True,True,True
0.6287675018436343,6.970688449998022,0.0631852450931172,3.0,9.0,35305.7362,30.0,False,True,True,False,True,True,False,True,False,True,True,True
0.5109292523438642,6.986374050680446,0.0655977103114552,4.0,16.0,19482.7134,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.777653327294064,5.084641568201543,0.0119521167768761,2.0,5.0,8080.5634,82.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9626453577220492,6.980555813141631,0.4192219101667344,4.0,10.0,34311.2402,33.0,True,False,True,False,False,False,False,False,False,False,False,False
0.9644675378160704,7.010358956352669,0.0946171364864717,1.0,12.0,2359.8442,56.0,True,False,True,False,False,False,False,False,False,False,True,True
0.8523982009651746,5.077223431565295,0.0292062666244518,4.0,3.0,8557.1596,77.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9734882457893186,6.9864488340904245,0.0284460848094795,3.0,6.0,6718.0272,25.0,True,True,True,True,True,True,True,True,True,True,True,True
0.989971480273158,5.072367311499079,0.262390786758348,3.0,23.0,36767.4305,88.0,True,True,True,True,True,True,True,True,True,True,True,True
0.6975128630120249,5.07324456116728,0.3055068258655231,3.0,23.0,19955.7145,94.0,True,True,True,True,True,True,True,True,True,True,True,True
0.603350099348303,6.98028726066166,0.2522105706089303,4.0,22.0,10855.4399,62.0,True,True,True,True,True,True,True,True,True,True,True,True
0.3708949400101319,5.018091120111085,0.9767591490310596,3.0,13.0,32912.338,97.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9319720691968372,7.645752966909435,0.2343620861214205,2.0,22.0,27118.6381,79.0,False,True,True,False,True,True,False,False,False,False,False,True
0.939382734552851,6.976922675007788,0.149253517955544,1.0,9.0,39439.0612,34.0,False,True,True,False,True,True,False,True,False,True,True,True
0.6778931289430356,5.07579620013964,0.0614034753967001,4.0,2.0,16308.5723,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9729350087970164,6.98535908762115,0.0850442113697779,3.0,1.0,4459.2522,5.0,True,True,True,True,True,True,True,True,True,True,True,True
0.966665512911507,6.972959669713937,0.0044318652117759,1.0,3.0,4098.7201,13.0,True,False,True,False,False,False,False,False,False,False,True,True
0.8705900832328782,5.076231931202444,0.0662617774574706,3.0,12.0,24266.8422,86.0,True,True,True,True,True,True,True,True,True,True,True,True
0.8629193310139689,5.072315624053514,0.081784347088794,4.0,9.0,14490.2253,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.9612575758613336,6.972462293528071,0.473634377400217,4.0,7.0,6162.4909,4.0,False,False,True,False,False,False,False,False,False,False,False,False
0.9824903222568812,6.978530277765203,0.0220778887904193,2.0,12.0,39502.0085,51.0,False,False,True,False,False,True,False,False,False,False,False,False
0.9675354763976214,7.649258477100039,0.4743854588604947,3.0,6.0,25761.905,3.0,False,False,True,False,False,False,False,False,False,False,False,True
0.9251728755693892,6.986137643415597,0.1156862159445903,1.0,7.0,39680.5043,47.0,True,True,True,True,True,True,True,True,True,True,True,True
0.7423816632545708,7.651300858065814,0.040581558503882,2.0,20.0,26111.8336,48.0,True,False,True,False,False,False,False,False,False,False,False,True
0.8553588546584201,5.081039740842126,0.0228872107380147,1.0,4.0,27235.0943,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.7304514390676196,5.078585288399294,0.4304454247696597,2.0,14.0,2680.0025,93.0,True,False,True,False,False,False,False,False,False,False,False,True
0.5543235735146458,5.080266166794286,0.2887730598921868,2.0,2.0,19888.5204,100.0,False,True,True,False,True,True,False,False,False,False,True,True
0.6593780708852602,7.638690593788148,0.2640158592305929,3.0,9.0,20896.9069,16.0,False,True,True,False,True,True,False,False,False,False,True,True
0.870322402312387,7.642076356838508,0.0152567136206371,4.0,10.0,15696.9804,55.0,True,False,True,False,False,True,False,True,True,True,True,True
0.7079139592353347,7.650931424849223,0.0318244422914085,4.0,10.0,26311.974,51.0,False,True,True,False,True,True,False,False,False,False,True,True
